entry_time,exit_time,direction,size,entry_price,exit_price,gross_bps,net_bps,cum_pnl_bps,date
2025-09-09 09:47:00,2025-09-09 09:48:00,LONG,1.6005317295155856,1.015232579358718,1.0160648906497831,8.198232680740603,8.621531531476952,8.621531531476952,2025-09-09
2025-09-09 09:55:00,2025-09-09 09:56:00,LONG,1.80093739737291,1.0197776254473538,1.0224447855187149,26.154330167726947,42.602311302297956,51.2238428337749,2025-09-09
2025-09-09 10:07:00,2025-09-09 10:08:00,LONG,1.0323707072463157,1.0279117261962951,1.0298356445819559,18.716766592206113,14.822641564160039,66.04648439793495,2025-09-09
2025-09-09 10:12:00,2025-09-09 10:13:00,LONG,1.1795219379047097,1.029645913871524,1.0306916059109572,10.155841200800708,7.479037494220947,73.5255218921559,2025-09-09
2025-09-09 10:13:00,2025-09-09 10:14:00,LONG,2.0834470701274737,1.0306916059109572,1.031586495037955,8.682414039908881,13.5893500930818,87.11487198523768,2025-09-09
2025-09-09 10:22:00,2025-09-09 10:23:00,LONG,1.5547656336200726,1.031608587968018,1.0329840993980763,13.333656253946558,16.230710514139464,103.34558249937716,2025-09-09
2025-09-09 10:23:00,2025-09-09 10:24:00,LONG,1.6097599750092946,1.0329840993980763,1.0365778414723785,34.78990699272488,51.50339981118449,154.84898231056164,2025-09-09
2025-09-09 10:24:00,2025-09-09 10:25:00,LONG,2.1657386158657026,1.0365778414723785,1.0358169427905746,-7.3404876253491125,-20.397577509502902,134.45140480105874,2025-09-09
2025-09-09 10:35:00,2025-09-09 10:36:00,LONG,1.4070545945435542,1.0445188813632102,1.0451817230182747,6.345904003184355,4.42903338421288,138.8804381852716,2025-09-09
2025-09-09 10:39:00,2025-09-09 10:40:00,LONG,1.3526429516205967,1.0466725776688695,1.0467802317314552,1.028536190614826,-3.108757771278157,135.77168041399344,2025-09-09
2025-09-09 10:42:00,2025-09-09 10:43:00,LONG,2.121167622839182,1.0472006602049175,1.048191327667943,9.460149335960288,15.566562478662549,151.338242892656,2025-09-09
2025-09-09 10:45:00,2025-09-09 10:46:00,LONG,2.201303006193161,1.0498212775892415,1.0501523223455536,3.153343939381603,2.441465493321708,153.7797083859777,2025-09-09
2025-09-09 10:52:00,2025-09-09 10:53:00,SHORT,1.2618511116191946,1.0479864241711507,1.0456317907068864,22.468167620841584,23.851482288405347,177.63119067438305,2025-09-09
2025-09-09 10:55:00,2025-09-09 10:56:00,LONG,1.0065054480803861,1.0457845634099299,1.0466322179988274,8.105441776016242,3.6581713066587085,181.28936198104176,2025-09-09
2025-09-09 10:57:00,2025-09-09 10:58:00,LONG,1.559461613053371,1.0464169080960954,1.0476219510920957,11.515897599483349,13.458600246247745,194.74796222728952,2025-09-09
2025-09-09 10:58:00,2025-09-09 10:59:00,LONG,1.406114972187909,1.0476219510920957,1.0500246499457018,22.934789129813726,27.748950379403585,222.49691260669312,2025-09-09
2025-09-09 10:59:00,2025-09-09 11:00:00,LONG,1.645218591189692,1.0500246499457018,1.0486886964183177,-12.723068238951196,-25.432228403697604,197.0646842029955,2025-09-09
2025-09-09 11:03:00,2025-09-09 11:04:00,SHORT,1.0553037090078417,1.0476039761720617,1.0491566334617282,-14.821032804208656,-20.140690889608287,176.9239933133872,2025-09-09
2025-09-09 11:04:00,2025-09-09 11:05:00,LONG,1.4634758069468383,1.0491566334617282,1.0482909119430155,-8.251594577028953,-16.576009032215605,160.34798428117162,2025-09-09
2025-09-09 11:11:00,2025-09-09 11:12:00,LONG,1.0159484072762197,1.0480656235501586,1.049324695074939,12.013289020162965,7.704881846183462,168.05286612735506,2025-09-09
2025-09-09 11:16:00,2025-09-09 11:17:00,LONG,1.6390914823703182,1.0497049428146563,1.0526458857399064,28.016853167940337,41.42218539039087,209.47505151774595,2025-09-09
2025-09-09 11:19:00,2025-09-09 11:20:00,SHORT,1.2090143254793548,1.0512397639460747,1.050651331807497,5.597506475295555,2.2674655155957764,211.74251703334173,2025-09-09
2025-09-09 11:21:00,2025-09-09 11:22:00,LONG,1.8591316453913278,1.0521765914111456,1.0528673076480768,6.564641739508215,7.704533198576495,219.4470502319182,2025-09-09
2025-09-09 11:22:00,2025-09-09 11:23:00,LONG,1.2169504509668814,1.0528673076480768,1.0532919383590384,4.033088575141619,0.40806896030797085,219.85511919222617,2025-09-09
2025-09-09 11:23:00,2025-09-09 11:24:00,SHORT,1.0062421995949167,1.0532919383590384,1.051905694397434,13.16106115616944,8.743215126787154,228.59833431901333,2025-09-09
2025-09-09 11:26:00,2025-09-09 11:27:00,SHORT,1.1354598210072757,1.0508374438687733,1.0496593831605892,11.210684536011595,8.22928185662876,236.82761617564208,2025-09-09
2025-09-09 11:29:00,2025-09-09 11:30:00,LONG,2.1033619208654333,1.0512714469800337,1.055277555405558,38.107269412031016,75.65337938942614,312.4809955650682,2025-09-09
2025-09-09 11:30:00,2025-09-09 13:01:00,LONG,1.6255222223038774,1.055277555405558,1.0573299708691937,19.449058241809425,27.114876374943602,339.5958719400118,2025-09-09
2025-09-09 13:04:00,2025-09-09 13:05:00,LONG,1.6991595813453109,1.0573845719479127,1.0576820055168272,2.812917615835353,0.2795959184816486,339.87546785849344,2025-09-09
2025-09-09 13:06:00,2025-09-09 13:07:00,LONG,1.4883336392694675,1.0597038280580284,1.0615294878895951,17.228019595931787,21.14104110261886,361.0165089611123,2025-09-09
2025-09-09 13:07:00,2025-09-09 13:08:00,LONG,1.988883637051951,1.0615294878895951,1.06275808771393,11.573864300062908,18.51906932385485,379.53557828496713,2025-09-09
2025-09-09 13:13:00,2025-09-09 13:14:00,SHORT,1.018177752063531,1.062362558245323,1.0627294279570627,-3.4533381178780687,-8.016112041976395,371.51946624299075,2025-09-09
2025-09-09 13:20:00,2025-09-09 13:21:00,LONG,2.7795538406422984,1.0626254320830812,1.0636314565349436,9.467347773619572,21.815002864860595,393.33446910785136,2025-09-09
2025-09-09 13:21:00,2025-09-09 13:22:00,LONG,1.09036496113949,1.0636314565349436,1.062361317221342,-11.94153581861368,-17.520632238808535,375.8138368690428,2025-09-09
2025-09-09 13:27:00,2025-09-09 13:28:00,LONG,2.0006850481156433,1.0610181351291632,1.0629285463419234,18.0054529654905,31.52324053260631,407.3370774016491,2025-09-09
2025-09-09 13:28:00,2025-09-09 13:29:00,LONG,1.7830661406694606,1.0629285463419234,1.0628860093120651,-0.4001871057524031,-5.2135600781996185,402.1235173234495,2025-09-09
2025-09-09 13:30:00,2025-09-09 13:31:00,LONG,1.986268911421052,1.0657713925779866,1.065375161778358,-3.717784155100601,-11.884519086650105,390.2389982367994,2025-09-09
2025-09-09 13:35:00,2025-09-09 13:36:00,LONG,2.04931899890929,1.0639583384093547,1.063702802514159,-2.40174719225994,-9.421946151675337,380.81705208512403,2025-09-09
2025-09-09 13:38:00,2025-09-09 13:39:00,SHORT,1.0367073367668824,1.0633477817462478,1.0683116251179565,-46.68127828843627,-52.894823691278454,327.92222839384556,2025-09-09
2025-09-09 13:42:00,2025-09-09 13:43:00,LONG,1.2880650887849037,1.0734708521680412,1.0733826938585147,-0.821245489325273,-5.557817644121959,322.3644107497236,2025-09-09
2025-09-09 13:50:00,2025-09-09 13:51:00,LONG,2.577571535723301,1.0711938993934045,1.0710807145927126,-1.0566229023145635,-7.223521116999361,315.1408896327242,2025-09-09
2025-09-09 13:52:00,2025-09-09 13:53:00,LONG,2.1644338063923043,1.0728323023190505,1.0727803168634147,-0.4845627366312222,-5.548803968482588,309.5920856642416,2025-09-09
2025-09-09 13:54:00,2025-09-09 13:55:00,LONG,1.9248910156134151,1.0746032455939483,1.075583185303456,9.119083843509568,13.053242560997019,322.64532822523864,2025-09-09
2025-09-09 13:55:00,2025-09-09 13:56:00,LONG,2.7075233504315936,1.075583185303456,1.0768945930714098,12.192527606162962,28.511553194468043,351.1568814197067,2025-09-09
2025-09-09 14:05:00,2025-09-09 14:06:00,LONG,1.8123756350807065,1.0778877682580053,1.0798698377160743,18.388458580176348,28.826794297402376,379.98367571710907,2025-09-09
2025-09-09 14:06:00,2025-09-09 14:07:00,LONG,1.4944369025955417,1.0798698377160743,1.0792551357753555,-5.692370684404757,-13.00688881402751,366.9767869030816,2025-09-09
2025-09-09 14:09:00,2025-09-09 14:10:00,LONG,1.3203841881363612,1.078792385459703,1.079081593121709,2.680846341742704,-0.9602528795397253,366.01653402354185,2025-09-09
2025-09-09 14:15:00,2025-09-09 14:16:00,LONG,1.523583920793168,1.0889181831781094,1.0875856654361544,-12.237078621148978,-23.14421622466441,342.8723177988774,2025-09-09
2025-09-09 14:17:00,2025-09-09 14:18:00,LONG,1.5635373322144173,1.089782960714235,1.0880054856646015,-16.310358242971333,-30.001854014676827,312.8704637842006,2025-09-09
2025-09-09 14:20:00,2025-09-09 14:21:00,LONG,1.891318255843116,1.0869841334707442,1.085144854391635,-16.920937688724713,-36.50287835666887,276.3675854275317,2025-09-09
