date,pnl,month
2025-09-09,0.029806698185536447,2025-09
2025-09-10,-0.007527369240217951,2025-09
2025-09-11,0.030868929992398743,2025-09
2025-09-12,0.02290243920155154,2025-09
2025-09-15,-0.004379799028729604,2025-09
2025-09-16,0.027124690615673634,2025-09
2025-09-17,-0.0072392851535996805,2025-09
2025-09-18,0.03282307244022731,2025-09
2025-09-19,-0.0053754268613613035,2025-09
2025-09-22,-0.005644169292239671,2025-09
2025-09-23,-0.0054594993350889,2025-09
2025-09-24,-0.00827118514392377,2025-09
2025-09-25,-0.007982262008207806,2025-09
2025-09-26,-0.006851858736935782,2025-09
2025-09-29,0.014518778771159733,2025-09
2025-09-30,0.003377426908984755,2025-09
2025-10-09,-0.006039119463994259,2025-10
2025-10-10,0.017879700364544754,2025-10
2025-10-13,0.1040471839018151,2025-10
2025-10-14,-0.006022507994875237,2025-10
2025-10-15,0.06396975845123865,2025-10
2025-10-16,0.010497758673062615,2025-10
2025-10-17,-0.00859824028372289,2025-10
2025-10-20,0.0016414568990209333,2025-10
2025-10-21,0.02365910342261314,2025-10
2025-10-22,-0.00575448348038697,2025-10
2025-10-23,-0.010643529580328678,2025-10
2025-10-24,-0.007561585077923515,2025-10
2025-10-27,0.02397860592462289,2025-10
2025-10-28,0.0032024811904311735,2025-10
2025-10-29,0.006517441813827294,2025-10
2025-10-30,0.01555605072218357,2025-10
2025-10-31,-0.007905947347532284,2025-10
2025-11-03,0.011047473867334187,2025-11
2025-11-04,-0.005826985509096679,2025-11
2025-11-05,0.04264015439701456,2025-11
2025-11-06,-0.006392449238459159,2025-11
2025-11-07,0.005447674918834845,2025-11
2025-11-10,-0.005709291096826627,2025-11
2025-11-11,-0.006168127633910005,2025-11
2025-11-12,0.01965271338009074,2025-11
2025-11-13,0.006111481034829646,2025-11
2025-11-14,-0.005306074811053395,2025-11
2025-11-17,-0.005952798847315298,2025-11
2025-11-18,-0.006625294764363274,2025-11
2025-11-19,0.025609939509660316,2025-11
2025-11-20,-0.006513262701236214,2025-11
2025-11-21,0.021148023905422662,2025-11
2025-11-24,0.012600376215570013,2025-11
2025-11-25,0.02567002903641532,2025-11
2025-11-26,0.014735121907343152,2025-11
2025-11-27,0.0025750956241058593,2025-11
2025-11-28,0.03468047969098378,2025-11
2025-12-01,0.008422997156535791,2025-12
2025-12-02,0.01391547715474253,2025-12
2025-12-03,0.02055211314607677,2025-12
2025-12-04,0.03330580746034025,2025-12
2025-12-05,0.029798871131562946,2025-12
2025-12-08,0.00803805070224576,2025-12
2025-12-09,0.008936342080831727,2025-12
2025-12-10,-0.0064993447535136115,2025-12
2025-12-11,0.00926300572512588,2025-12
2025-12-12,-0.007571045734583159,2025-12
2025-12-15,0.005005739768600349,2025-12
2025-12-16,-0.006794480806066113,2025-12
2025-12-17,0.061300977031538986,2025-12
2025-12-18,0.028600706914628023,2025-12
2025-12-19,0.01034613492205659,2025-12
2025-12-22,0.0158713864298487,2025-12
2025-12-23,-0.005096116349865856,2025-12
2025-12-24,0.01859949945577745,2025-12
2025-12-25,-0.005220836748642497,2025-12
2025-12-26,0.014626290446708741,2025-12
2025-12-29,-0.005666621041371523,2025-12
2025-12-30,0.03853487406698345,2025-12
2025-12-31,0.019576889831622646,2025-12
2026-01-05,0.001759426278997285,2026-01
2026-01-06,0.014425006522388614,2026-01
2026-01-07,0.034369784035154616,2026-01
2026-01-08,0.027918858877401823,2026-01
2026-01-09,0.026874744328804816,2026-01
2026-01-12,0.018460283336804873,2026-01
2026-01-13,0.09523647465014308,2026-01
2026-01-14,0.07434630121828886,2026-01
2026-01-15,0.035904897362800725,2026-01
2026-01-16,-0.005168247038547444,2026-01
2026-01-19,-0.006370321155618586,2026-01
2026-01-20,-0.005847516376877489,2026-01
2026-01-21,-0.0008283167057355923,2026-01
2026-01-22,-0.006498434502610213,2026-01
2026-01-23,-0.005060868621577366,2026-01
2026-01-26,-0.005716989816188097,2026-01
2026-01-27,0.03289848921967195,2026-01
2026-01-28,-0.005660439228067315,2026-01
2026-01-29,-0.005080849968556173,2026-01
2026-01-30,-0.005068130362913183,2026-01
2026-02-02,-0.006149611672128252,2026-02
2026-02-03,0.042914292135988984,2026-02
2026-02-04,-0.005259606740702718,2026-02
2026-02-05,-0.005200858754825419,2026-02
