date,conf_q,shock_q,flip_q,bdiff_q,trend_min,gap_q,conf_thr,shock_thr,flip_thr,bdiff_thr,gap_thr,hist_n_preds,hist_n_days,hist_hit_rate,hist_zero_rate,hist_avg_signed_bps_gross,hist_avg_signed_bps_net,hist_median_signed_bps_net,hist_nonzero_hit_rate,hist_worst_day_net_bps,hist_best_day_net_bps,test_n_preds
2023-09-27,0.99,0.9,0.7,1.0,0.1,0.0,0.0012383122990750047,1574.8000000000004,0.6333333333333333,1902.2068965517242,,24,21,0.5416666666666666,0.4166666666666667,12.88290377440273,6.88290377440273,18.784530197248834,0.9285714285714286,-31.15724597247247,34.15126814161539,0
2023-09-28,0.99,0.9,0.7,1.0,0.1,0.0,0.0012408481560286018,1585.3999999999999,0.6333333333333333,1902.2068965517242,,24,21,0.5416666666666666,0.4166666666666667,12.88290377440273,6.88290377440273,18.784530197248834,0.9285714285714286,-31.15724597247247,34.15126814161539,0
2023-10-09,0.99,0.9,0.7,1.0,0.1,0.0,0.0012395678784576716,1585.3999999999999,0.6333333333333333,1902.2068965517242,,24,21,0.5416666666666666,0.4166666666666667,12.88290377440273,6.88290377440273,18.784530197248834,0.9285714285714286,-31.15724597247247,34.15126814161539,0
2023-10-10,0.99,0.9,0.7,1.0,0.1,0.0,0.0012408481560286018,1585.3999999999999,0.6333333333333333,1902.2068965517242,,24,21,0.5416666666666666,0.4166666666666667,12.88290377440273,6.88290377440273,18.784530197248834,0.9285714285714286,-31.15724597247247,34.15126814161539,0
2023-10-11,0.99,0.9,0.7,1.0,0.1,0.0,0.0012411328209381005,1596.0,0.6333333333333333,1902.2068965517242,,23,20,0.5652173913043478,0.391304347826087,13.44303002546372,7.4430300254637185,18.96880198587146,0.9285714285714286,-31.15724597247247,34.15126814161539,0
2023-10-12,0.99,0.9,0.7,1.0,0.1,0.0,0.0012413925752520574,1596.0,0.6333333333333333,1902.2068965517242,,23,20,0.5652173913043478,0.391304347826087,13.44303002546372,7.4430300254637185,18.96880198587146,0.9285714285714286,-31.15724597247247,34.15126814161539,0
2023-10-13,0.99,0.9,0.7,1.0,0.1,0.0,0.0012423093347170642,1596.0,0.6333333333333333,1902.2068965517242,,23,20,0.5652173913043478,0.391304347826087,13.44303002546372,7.4430300254637185,18.96880198587146,0.9285714285714286,-31.15724597247247,34.15126814161539,0
2023-10-16,0.99,0.9,0.7,1.0,0.1,0.0,0.0012423952419535083,1606.6000000000001,0.6333333333333333,1902.2068965517242,,23,20,0.5652173913043478,0.391304347826087,13.44303002546372,7.4430300254637185,18.96880198587146,0.9285714285714286,-31.15724597247247,34.15126814161539,0
2023-10-17,0.99,0.9,0.7,1.0,0.1,0.0,0.0012424626100065142,1606.6000000000001,0.6333333333333333,1902.2068965517242,,23,20,0.5652173913043478,0.391304347826087,13.44303002546372,7.4430300254637185,18.96880198587146,0.9285714285714286,-31.15724597247247,34.15126814161539,0
2023-10-18,0.99,0.9,0.7,1.0,0.0,0.0,0.0012444164727723635,1606.6000000000001,0.6333333333333333,1902.2068965517242,,36,31,0.5277777777777778,0.4444444444444444,12.954599833341389,6.954599833341388,18.784530197248834,0.95,-31.15724597247247,34.15126814161539,1
2023-10-19,0.99,0.9,0.7,1.0,0.1,0.0,0.0012448607336622253,1606.6000000000001,0.6333333333333333,1902.2068965517242,,23,20,0.5652173913043478,0.391304347826087,13.512345706550414,7.512345706550415,18.96880198587146,0.9285714285714286,-31.15724597247247,34.15126814161539,1
2023-10-20,0.99,0.9,1.0,0.9,0.2,0.0,0.0012476157566955505,1617.2000000000003,0.7333333333333333,1484.0068965517248,,20,17,0.5,0.5,12.878083878003633,6.878083878003634,6.300129204313103,1.0,-6.0,39.61293186982983,0
2023-10-23,0.99,0.9,1.0,0.9,0.2,0.0,0.0012483759149210876,1627.8000000000004,0.7333333333333333,1498.2965517241378,,20,17,0.5,0.5,12.878083878003633,6.878083878003634,6.300129204313103,1.0,-6.0,39.61293186982983,0
2023-10-24,0.99,0.9,1.0,0.9,0.2,0.0,0.0012496453919705155,1638.3999999999999,0.7333333333333333,1512.5862068965516,,20,17,0.5,0.5,12.878083878003633,6.878083878003634,6.300129204313103,1.0,-6.0,39.61293186982983,0
2023-10-25,0.99,0.9,0.7,1.0,0.1,0.0,0.0012505380238537931,1638.3999999999999,0.6333333333333333,1917.448275862069,,21,19,0.47619047619047616,0.47619047619047616,11.126243452217244,5.126243452217245,-6.0,0.9090909090909091,-31.15724597247247,34.15126814161539,3
2023-10-26,0.99,0.9,0.7,1.0,0.1,0.0,0.00125640221753997,1638.3999999999999,0.6333333333333333,1917.448275862069,,22,18,0.5454545454545454,0.4090909090909091,13.16341840535393,7.163418405353934,19.071528229796606,0.9230769230769231,-31.15724597247247,37.94409242122438,1
2023-10-27,0.99,0.9,0.7,1.0,0.1,0.0,0.0012566494673707028,1627.8000000000004,0.6333333333333333,1917.448275862069,,23,19,0.5217391304347826,0.43478260869565216,12.591095865990717,6.591095865990718,18.600258408626207,0.9230769230769231,-31.15724597247247,37.94409242122438,1
2023-10-30,0.99,0.9,0.7,1.0,0.1,0.0,0.0012584903224817712,1553.6000000000001,0.6333333333333333,1917.448275862069,,22,18,0.5909090909090909,0.4090909090909091,15.557399300416323,9.557399300416325,19.575503333851756,1.0,-6.0,37.94409242122438,0
2023-10-31,0.99,0.9,0.7,1.0,0.1,0.0,0.001259288180865143,1564.2000000000003,0.6333333333333333,1917.448275862069,,22,18,0.5909090909090909,0.4090909090909091,15.557399300416323,9.557399300416325,19.575503333851756,1.0,-6.0,37.94409242122438,0
2023-11-01,0.99,0.9,0.7,1.0,0.1,0.0,0.0012605817685071047,1564.2000000000003,0.6333333333333333,1917.448275862069,,22,18,0.5909090909090909,0.4090909090909091,15.557399300416323,9.557399300416325,19.575503333851756,1.0,-6.0,37.94409242122438,0
2023-11-02,0.99,0.9,0.7,1.0,0.1,0.0,0.001263436671496603,1574.8000000000004,0.6333333333333333,1917.448275862069,,22,18,0.5909090909090909,0.4090909090909091,15.557399300416323,9.557399300416325,19.575503333851756,1.0,-6.0,37.94409242122438,0
2023-11-03,0.99,0.9,0.7,1.0,0.1,0.0,0.0012649195748731922,1564.2000000000003,0.6333333333333333,1917.448275862069,,22,18,0.5909090909090909,0.4090909090909091,15.557399300416323,9.557399300416325,19.575503333851756,1.0,-6.0,37.94409242122438,0
2023-11-06,0.99,0.9,0.7,1.0,0.1,0.0,0.0012661271776317875,1553.6000000000001,0.6333333333333333,1917.448275862069,,22,18,0.5909090909090909,0.4090909090909091,15.557399300416323,9.557399300416325,19.575503333851756,1.0,-6.0,37.94409242122438,0
2023-11-07,0.99,0.9,0.7,1.0,0.1,0.0,0.0012664929197433235,1574.8000000000004,0.6333333333333333,1917.448275862069,,20,17,0.55,0.45,14.53221762436922,8.532217624369224,19.104233512681354,1.0,-6.0,37.94409242122438,0
2023-11-08,0.99,0.9,0.7,1.0,0.0,0.0,0.0012682532060481885,1574.8000000000004,0.6333333333333333,1917.448275862069,,33,28,0.5454545454545454,0.45454545454545453,14.402861238165368,8.402861238165366,19.608208616736505,1.0,-12.0,40.15126814161539,1
2023-11-09,0.99,0.9,0.7,1.0,0.0,0.0,0.0012697611072592936,1574.8000000000004,0.6333333333333333,1917.448275862069,,33,28,0.5454545454545454,0.45454545454545453,14.402861238165368,8.402861238165368,19.608208616736505,1.0,-12.0,40.15126814161539,2
2023-11-10,0.99,0.9,0.7,1.0,0.0,0.0,0.0012709260537566048,1564.2000000000003,0.6333333333333333,1917.448275862069,,34,28,0.5588235294117647,0.4411764705882353,14.777396458100535,8.777396458100533,19.608208616736505,1.0,-12.0,40.15126814161539,1
2023-11-13,0.99,0.9,0.7,1.0,0.0,0.0,0.0012722194741237975,1660.1000000000001,0.6333333333333333,1917.448275862069,,35,30,0.5428571428571428,0.45714285714285713,14.365026860942812,8.365026860942812,19.608208616736505,1.0,-12.0,40.15126814161539,1
2023-11-14,0.99,0.9,0.7,1.0,0.0,0.0,0.0012723352328345388,1649.0,0.6333333333333333,1917.448275862069,,36,31,0.5555555555555556,0.4444444444444444,14.728077766402967,8.728077766402967,19.608208616736505,1.0,-12.0,40.15126814161539,1
