date,day_net_signed_ret_bps
2023-10-18,21.137058715961043
2023-10-19,-6.0
2023-10-25,37.94409242122438
2023-10-26,-6.0
2023-10-27,21.51033371890019
2023-11-08,-6.0
2023-11-09,15.137058715961043
2023-11-10,-6.0
2023-11-13,21.434859457508338
2023-11-14,-6.0
2023-11-27,43.86606708639812
2023-11-29,16.050509276084604
2023-12-06,-12.0
2023-12-07,-6.0
2023-12-12,16.694424279529606
2023-12-15,22.311177013292102
2023-12-18,23.282597790883596
2023-12-26,-12.0
2023-12-27,23.368596733097057
2024-01-03,23.11210207458313
2024-01-05,23.19710103334846
2024-01-08,47.52398527295352
2024-01-09,-6.0
2024-01-12,-6.0
2024-01-19,104.41863541296425
2024-01-23,-6.0
2024-01-24,106.61220437812062
2024-01-30,31.068749737804964
2024-02-02,44.59847340911081
2024-02-06,-6.0
2024-02-21,-6.0
2024-02-22,-6.0
2024-08-06,-6.0
2024-08-07,-6.0
2024-08-09,23.368596733097057
2024-08-20,11.455102297567446
2024-08-21,93.82040919026979
2024-09-02,-18.0
2024-09-09,-12.0
2024-09-11,49.44398073940118
2024-09-20,18.72199036970059
2024-09-23,48.79046076382163
2024-09-24,24.257209165371112
2024-09-27,72.43295459275245
2024-10-08,336.0804294982659
2025-04-02,19.09411605425707
2025-04-07,-186.4256472784703
2025-04-18,-6.0
2025-04-23,19.740039951728427
2025-04-29,-6.0
2025-06-26,-6.0
2025-07-07,-12.0
2025-07-08,-6.0
2025-07-10,18.660924951934682
2025-07-11,-12.0
2025-07-14,12.420036555515871
2025-07-22,17.894873973814853
2025-07-23,17.724803536303956
2025-07-25,-6.0
2025-07-28,35.39345363896639
2025-07-29,17.612761856796855
2025-08-01,-18.0
2025-08-05,17.9521072595485
2025-08-08,17.837913552761975
2025-08-11,-6.0
2025-08-13,-6.0
2025-08-15,11.446669592540548
2025-08-18,34.29637898742082
2025-08-20,17.17498140362704
2025-08-22,16.59887967437504
2025-08-25,16.002209096023375
2025-08-26,16.002209096023375
2025-08-29,15.762794225954483
2025-09-04,16.3964259350466
2025-09-05,15.953905634356559
2025-09-08,-28.002209096024234
2025-09-11,15.621630044950955
2025-09-19,-6.0
2025-10-13,-6.0
2025-12-15,-6.0
2025-12-16,15.668480850902931
2026-01-28,-17.955302967658078
2026-01-29,-6.0
