date,pnl,pnl_bps,trades
2025-09-09,-0.0057627235097385335,-57.62723509738534,3
2025-09-10,-0.0048759428448926015,-48.759428448926016,2
2025-09-11,0.0025960100037102003,25.960100037102002,5
2025-09-12,-0.0013280265594990725,-13.280265594990725,5
2025-09-15,-0.0025758266972564538,-25.758266972564538,4
2025-09-16,-0.0009674999618222626,-9.674999618222627,4
2025-09-17,0.0,0.0,0
2025-09-18,-0.006432011108372332,-64.32011108372332,6
2025-09-19,0.00509759306174896,50.9759306174896,6
2025-09-22,0.0016193578944695565,16.193578944695563,5
2025-09-23,-0.0075803913176350785,-75.80391317635079,3
2025-09-24,-0.006549601155317412,-65.49601155317411,3
2025-09-25,-0.0008493447676435441,-8.49344767643544,6
2025-09-26,-0.0004478414659664148,-4.478414659664148,3
2025-09-29,-0.0001139557344353243,-1.139557344353243,6
2025-09-30,0.001206295548621466,12.06295548621466,1
2025-10-09,-0.00014628028943028772,-1.4628028943028772,3
2025-10-10,-0.0025389211622658626,-25.389211622658625,2
2025-10-13,-0.007924527284186514,-79.24527284186513,7
2025-10-14,-0.005726652934860576,-57.26652934860576,2
2025-10-15,0.003928288814266277,39.28288814266277,7
2025-10-16,-0.0006779467884436208,-6.779467884436208,6
2025-10-17,-0.00022651927478328305,-2.2651927478328306,6
2025-10-20,-0.0004545647447209934,-4.545647447209934,5
2025-10-21,-0.0030603385220903194,-30.603385220903196,4
2025-10-22,-0.0005370622173684386,-5.370622173684386,3
2025-10-23,0.0008852690683194505,8.852690683194504,2
2025-10-24,-0.0022762269593027745,-22.762269593027746,2
2025-10-27,0.0,0.0,0
2025-10-28,0.0015195570643155043,15.195570643155042,3
2025-10-29,-0.0014755048528190089,-14.75504852819009,1
2025-10-30,-0.008241489469652929,-82.41489469652929,1
2025-10-31,-0.003672932235271934,-36.72932235271934,6
2025-11-03,0.0008434385403655359,8.434385403655359,3
2025-11-04,-0.0022767514979972264,-22.767514979972265,1
2025-11-05,0.0001251008521739326,1.251008521739326,5
2025-11-06,-0.007324376584498228,-73.24376584498228,3
2025-11-07,0.0009181481500770214,9.181481500770214,2
2025-11-10,0.0005529803538464286,5.529803538464286,1
2025-11-11,-0.0035829540016773216,-35.829540016773215,3
2025-11-12,0.002605330346392539,26.053303463925392,4
2025-11-13,-0.0004669799119925561,-4.669799119925561,4
2025-11-14,-0.003868923050823664,-38.68923050823664,4
2025-11-17,-0.0025046208584823563,-25.046208584823564,5
2025-11-18,-0.006330344640688636,-63.30344640688636,2
2025-11-19,-0.002272760826447536,-22.727608264475357,3
2025-11-20,-0.0010311266514545793,-10.311266514545794,2
2025-11-21,-0.005115292764481114,-51.15292764481114,2
2025-11-24,3.528946332499608e-05,0.3528946332499608,2
2025-11-25,0.0028024991059692104,28.024991059692102,3
2025-11-26,-0.00031012556839735,-3.1012556839734997,2
2025-11-27,-0.0014188796184297094,-14.188796184297095,3
2025-11-28,0.0034753649065297834,34.753649065297836,1
2025-12-01,0.00042425748280555946,4.242574828055595,3
2025-12-02,0.0002311212735830214,2.311212735830214,3
2025-12-03,-0.0023531406171469395,-23.531406171469396,3
2025-12-04,0.0,0.0,0
2025-12-05,-0.001211817575274673,-12.11817575274673,3
2025-12-08,0.00019251692523885482,1.9251692523885482,1
2025-12-09,0.0002806037692805283,2.8060376928052833,2
2025-12-10,0.0032732738980661906,32.73273898066191,6
2025-12-11,-0.0009122190398381399,-9.122190398381399,1
2025-12-12,0.0,0.0,0
2025-12-15,2.4400303997079134e-05,0.24400303997079134,2
2025-12-16,0.0021581328175160185,21.581328175160184,2
2025-12-17,0.0023298810878594756,23.298810878594757,3
2025-12-18,-0.003577425724466383,-35.77425724466383,3
2025-12-19,-0.001464322998745245,-14.64322998745245,2
2025-12-22,-0.0018559281032877874,-18.559281032877873,2
2025-12-23,-0.0016541926641242067,-16.541926641242068,2
2025-12-24,-0.0018385421826046825,-18.385421826046827,2
2025-12-25,0.0,0.0,0
2025-12-26,-0.0006076937802718639,-6.076937802718639,2
2025-12-29,-0.0006072943203940435,-6.072943203940436,1
2025-12-30,0.0,0.0,0
2025-12-31,0.000854420786404561,8.54420786404561,4
2026-01-05,-0.0012054053716495875,-12.054053716495876,1
2026-01-06,3.193492863540269e-05,0.3193492863540269,5
2026-01-07,-0.0006498092317463698,-6.498092317463698,2
2026-01-08,0.0008709620488327371,8.70962048832737,1
2026-01-09,0.0013168521716386708,13.168521716386708,2
2026-01-12,0.004245456719182734,42.454567191827344,3
2026-01-13,-0.005147192895079601,-51.471928950796006,4
2026-01-14,-0.01222063301211206,-122.2063301211206,2
2026-01-15,-0.006304826533747877,-63.04826533747877,7
2026-01-16,-0.0038470870349365115,-38.470870349365114,6
2026-01-19,-0.007460843465740242,-74.60843465740243,5
2026-01-20,0.0019989217396218263,19.98921739621826,4
2026-01-21,-0.0058737903212890295,-58.737903212890295,5
2026-01-22,0.0011884976331849105,11.884976331849105,2
2026-01-23,-0.0028107631368599756,-28.107631368599755,6
2026-01-26,-0.00070049443386783,-7.0049443386783,6
2026-01-27,0.0012245943237131623,12.245943237131623,4
2026-01-28,-0.004518904226558165,-45.189042265581655,3
2026-01-29,0.0043352332458998334,43.35233245899833,4
2026-01-30,0.006543320655209661,65.4332065520966,4
2026-02-02,-0.001744081416456968,-17.44081416456968,4
2026-02-03,-0.00014081334593055422,-1.4081334593055421,4
2026-02-04,0.0006767855325964597,6.7678553259645975,1
2026-02-05,-0.0006980650010164017,-6.980650010164017,1
