train_start,train_end,test_start,test_end,total_return,sharpe,mean_daily_pnl,n_trades,win_rate
2010-01-04,2010-12-24,2010-12-30,2011-03-28,-0.018925497295975924,-6.785104332244963,-0.0012687328350945123,38,0.4
2010-04-06,2011-03-28,2011-04-01,2011-06-24,-0.00011808037870641996,-0.12486692243537266,-7.442086907089318e-06,18,0.5333333333333333
2010-07-05,2011-06-24,2011-06-30,2011-09-19,-0.0008761944133182098,-0.5183459735329531,-5.697496237071628e-05,32,0.26666666666666666
2010-09-30,2011-09-19,2011-09-23,2011-12-19,-0.002370102298128174,-0.6663246118153435,-0.0001518974459582097,78,0.3333333333333333
2010-12-30,2011-12-19,2011-12-23,2012-03-21,-0.011159394434035685,-6.668310312256132,-0.0007463439335491113,53,0.3333333333333333
2011-04-01,2012-03-21,2012-03-27,2012-06-20,-0.019652232297948102,-10.246190180707329,-0.0013203072451208207,39,0.26666666666666666
2011-06-30,2012-06-20,2012-06-27,2012-09-13,-0.0040611718205944,-5.176780028945586,-0.00027092738054925564,38,0.2
2011-09-23,2012-09-13,2012-09-19,2012-12-13,-0.01770306925977383,-7.7208034587166825,-0.0011871942119924485,41,0.3333333333333333
2011-12-23,2012-12-13,2012-12-19,2013-03-19,-0.011089912320296103,-4.488600841468511,-0.0007398875279387457,44,0.3333333333333333
2012-03-27,2013-03-19,2013-03-25,2013-06-21,-0.007951179381313955,-7.826449258785818,-0.0005314969020122337,31,0.2
2012-06-27,2013-06-21,2013-06-27,2013-09-13,0.007409727854922776,2.3018043477041314,0.0004979231538243821,83,0.5333333333333333
2012-09-19,2013-09-13,2013-09-23,2013-12-17,0.0026035241759199135,4.756149969923387,0.000173518772209959,33,0.6
2012-12-19,2013-12-17,2013-12-23,2014-03-19,-0.01600134681110421,-4.507623054662395,-0.0010679479340904915,29,0.26666666666666666
2013-03-25,2014-03-19,2014-03-25,2014-06-17,-0.0016571268735467992,-2.3173652520306898,-0.00011028650783318148,23,0.2
2013-06-27,2014-06-17,2014-06-23,2014-09-10,-0.0025722930369194152,-15.162399335624459,-0.00017167688070669917,16,0.06666666666666667
2013-09-23,2014-09-10,2014-09-16,2014-12-10,0.05253891517010367,3.875417115828096,0.0035156419327090067,88,0.13333333333333333
2013-12-23,2014-12-10,2014-12-16,2015-03-13,0.004911890935381358,1.2099130071981223,0.00033602768309339145,80,0.4
2014-03-25,2015-03-13,2015-03-19,2015-06-09,0.03532709997951522,7.37247228496556,0.0023292379749438514,274,0.7333333333333333
2014-06-23,2015-06-09,2015-06-15,2015-09-02,0.6895493237048156,16.314191157984602,0.03614068673565352,787,0.9333333333333333
2014-09-16,2015-09-02,2015-09-10,2015-12-04,-0.04218982121690973,-2.138124249579073,-0.002676904481644961,194,0.4666666666666667
2014-12-16,2015-12-04,2015-12-10,2016-03-07,0.06683640042169925,2.6544603381622998,0.00468068948972759,287,0.3333333333333333
2015-03-19,2016-03-07,2016-03-11,2016-06-01,-0.037646785746456524,-13.623764485715226,-0.0025507217795890835,42,0.2
2015-06-15,2016-06-01,2016-06-07,2016-08-26,-0.01513596054099442,-4.994131860885959,-0.0010112660426144292,14,0.13333333333333333
2015-09-10,2016-08-26,2016-09-01,2016-11-29,-0.0026151952905110187,-5.828015888110045,-0.00017445098968585991,6,0.2
2015-12-10,2016-11-29,2016-12-05,2017-03-01,-0.001109315451195969,-2.156426395467546,-7.385070112678081e-05,6,0.06666666666666667
2016-03-11,2017-03-01,2017-03-07,2017-05-31,0.015228336839459455,2.8308498967398945,0.0010237848204249238,64,0.4
2016-06-07,2017-05-31,2017-06-06,2017-08-23,-0.013347837809780883,-6.450747658186195,-0.0008931178925027319,28,0.13333333333333333
2016-09-01,2017-08-23,2017-08-29,2017-11-22,-0.00712575128091264,-3.3439375683677555,-0.0004741930917423395,19,0.2
