date,pnl,active
2010-12-30,0.0,False
2011-01-06,0.0,False
2011-01-12,0.0,False
2011-01-18,0.0,False
2011-01-24,-0.008372464101418741,True
2011-01-28,-0.00017436576314113752,True
2011-02-10,-0.0016848999218350923,True
2011-02-16,0.0014106626180925175,True
2011-02-22,-0.007346295117570278,True
2011-02-28,0.0,False
2011-03-04,0.0,False
2011-03-10,0.0,False
2011-03-16,0.0,False
2011-03-22,0.0,False
2011-03-28,0.0,False
2011-04-01,0.0,False
2011-04-11,0.0,False
2011-04-15,0.0,False
2011-04-21,0.0,False
2011-04-27,0.0,False
2011-05-04,0.0,False
2011-05-10,0.0,False
2011-05-16,0.0,False
2011-05-20,-0.00044978499944250386,True
2011-05-26,0.0002616098221459364,True
2011-06-01,0.0,True
2011-06-08,0.0010602083936894547,True
2011-06-14,0.0,True
2011-06-20,-0.003005396275010541,True
2011-06-24,-0.0008000849931897535,True
2011-06-30,-0.0040997152769091435,True
2011-07-06,0.0019674684446673867,True
2011-07-12,-0.00021687942364879688,True
2011-07-18,0.0,False
2011-07-22,0.0,False
2011-07-28,0.0,False
2011-08-03,0.0,False
2011-08-09,0.0,False
2011-08-15,-0.0003345272898500948,True
2011-08-19,-0.00044009720939022204,True
2011-08-25,0.000434542661735671,True
2011-08-31,-2.2952195964942495e-05,True
2011-09-06,0.001020463300000685,True
2011-09-13,-0.002198590173969417,True
2011-09-19,-0.0001592064691462557,True
2011-09-23,-0.0073201647169412465,True
2011-09-29,-0.0006318882709914425,True
2011-10-12,0.008952456559061175,True
2011-10-18,-0.0003129322923809518,True
2011-10-24,-0.0004330253646657839,True
2011-10-28,0.0027392219688884725,True
2011-11-03,-1.9838381176373514e-05,True
2011-11-09,-0.002226514020189618,True
2011-11-15,0.0,True
2011-11-21,0.0,False
2011-11-25,0.0,False
2011-12-01,0.0,False
2011-12-07,0.0,False
2011-12-13,0.0010174598446510254,True
2011-12-19,-0.005150733174846777,True
2011-12-23,-0.0028919168863587356,True
2011-12-29,8.010048464256467e-05,True
2012-01-06,0.0030865343432868297,True
2012-01-12,-0.0013222677892558265,True
2012-01-18,-0.002337205356045378,True
2012-01-31,0.00016742501342702508,True
2012-02-06,-0.0045980628396560695,True
2012-02-10,-0.003021418466630543,True
2012-02-16,0.0,False
2012-02-22,0.0,False
2012-02-28,0.0,False
2012-03-05,0.0,False
2012-03-09,0.0,False
2012-03-15,0.0,False
2012-03-21,0.0,False
2012-03-27,0.0,False
2012-04-05,-0.003225938893135971,True
2012-04-11,-0.0044065209575516184,True
2012-04-17,0.0025949560299669,True
2012-04-23,-0.0018029446016532224,True
2012-04-27,0.0008164545654627431,True
2012-05-07,0.001493690663521885,True
2012-05-11,-0.002319817925613887,True
2012-05-17,-0.0005173574256793987,True
2012-05-23,-0.0033229573483874336,True
2012-05-29,0.0,False
2012-06-04,0.0,False
2012-06-08,0.0,False
2012-06-14,0.0,False
2012-06-20,0.0,False
2012-06-27,0.0,False
2012-07-03,0.0,False
2012-07-09,0.0,False
2012-07-13,0.00010874593699925514,True
2012-07-19,-3.2530920024431614e-05,True
2012-07-25,-0.0002169230894342288,True
2012-07-31,0.0011263153772154931,True
2012-08-06,-0.00023670193579207178,True
2012-08-10,-0.0003518153048530868,True
2012-08-16,-5.4400562966250204e-05,True
2012-08-22,-0.00010594926168751009,True
2012-08-28,0.00014836107825785285,True
2012-09-03,-5.896378675774852e-05,True
2012-09-07,-0.000247406830309049,True
2012-09-13,-0.0007515852173055836,True
2012-09-19,-0.0004246884772152402,True
2012-09-25,0.00012733224537373486,True
2012-10-08,0.0004952251857835656,True
2012-10-12,-0.0026302392387427594,True
2012-10-18,0.0,True
2012-10-24,-8.166063171834972e-05,True
2012-10-30,0.0006480948143587574,True
2012-11-05,0.0005122749988841547,True
2012-11-09,-0.00022838098527967467,True
2012-11-15,-0.0036529438386665,True
2012-11-21,-0.008543719807554825,True
2012-11-27,0.00034897875235825356,True
2012-12-03,-0.003459439595609392,True
2012-12-07,-0.00036790122909958746,True
2012-12-13,-0.0005508453727588679,True
2012-12-19,-0.00046531287046772655,True
2012-12-25,-0.0006260865642922162,True
2012-12-31,-0.0008707868044195653,True
2013-01-09,-0.006447142913191872,True
2013-01-15,0.0,True
2013-01-21,0.00482052354609288,True
2013-01-25,0.00010113281108898885,True
2013-01-31,0.0004287905303121513,True
2013-02-06,0.0,False
2013-02-19,0.0,False
2013-02-25,0.0,False
2013-03-01,0.0,False
2013-03-07,0.0,False
2013-03-13,0.0,False
2013-03-19,-0.0018089766603206602,True
2013-03-25,0.0008521121671499325,True
2013-03-29,-0.0001753576250587251,True
2013-04-08,-0.0011254312879546478,True
2013-04-12,-0.00023704118706758805,True
2013-04-18,0.0,False
2013-04-24,0.0,False
2013-05-03,0.0,False
2013-05-09,0.0,False
2013-05-15,0.0,False
2013-05-21,0.0,False
2013-05-27,0.0,False
2013-05-31,0.0,False
2013-06-06,0.0,False
2013-06-17,0.0,False
2013-06-21,0.0010569936556661054,True
2013-06-27,0.0014390037381385114,True
2013-07-03,0.00011536507872488286,True
2013-07-09,-0.00018391736034131226,True
2013-07-15,-0.00036356021623286096,True
2013-07-19,-0.006597214768665427,True
2013-07-25,-0.0007792801273361237,True
2013-07-31,0.0007746241103640751,True
2013-08-06,-0.00017238329437875279,True
