label,cum_return,sharpe,max_dd,active_ratio,active_sharpe,total_trades
No filter,6.137287861108475,3.1767320095777456,-0.10488398971755897,1.0,3.1767320095777456,9546
Disp > P50,6.439402933642097,3.2484815911743623,-0.08468011215402971,0.8660130718954249,3.5025807050923756,9263
Disp > P60,6.199357762939841,3.2111509232080735,-0.08468011215402982,0.7908496732026143,3.631404176870156,8781
Disp > P70,6.0460284327888,3.1849493456341658,-0.08468011215402982,0.6721132897603486,3.9252538753523076,7966
Vol > P50,5.981438490474067,3.163472672800677,-0.08468011215402971,0.5501089324618736,4.339210112570416,7911
IntradayDisp > P50,6.2564420859793195,3.208455808381762,-0.08468011215402971,0.818082788671024,3.5641932579892583,9042
