signal,config,hold,th_long,scaled,ret,sharpe,dd,wr,avg_bps,trades,trades_per_day
neg_breadth_resid,h5_L0.7_LO_sc,5,0.7,True,-0.40255306812375635,-29.249128433412984,-0.3988031202131509,0.08,-51.33917355625124,1071,10.71
breadth_top50,h8_L0.7_LO_1x,8,0.7,False,-0.3820799529379064,-29.489674346721376,-0.3801334440688249,0.06,-47.99187483217984,1098,10.98
top30_breadth_resid,h8_L0.5_LO_1x,8,0.5,False,-0.4007911302342928,-30.836032941262665,-0.3984255786159945,0.06,-51.05040383637785,1072,10.72
breadth_deficit,h8_L0.5_LO_1x,8,0.5,False,-0.4013025394311084,-30.836922382361816,-0.3992305202979557,0.04,-51.135206960486975,1098,10.98
top30_resid_cw,h8_L0.5_LO_1x,8,0.5,False,-0.39173147901260885,-31.36698713474821,-0.3877642094760302,0.07,-49.5602481821747,1126,11.26
breadth_top30,h5_L0.5_LO_sc,5,0.5,True,-0.41902898064614214,-31.575735973655824,-0.41582641019975997,0.05,-54.122678048827176,1303,13.03
top30_resid_cw,h8_L0.7_LO_1x,8,0.7,False,-0.3924641620756263,-31.968791442087195,-0.38819282177795655,0.06,-49.68116347449106,1093,10.93
breadth_bottom200,h5_L0.7_LO_sc,5,0.7,True,-0.41402355442458816,-32.30893551713615,-0.4104910691521365,0.06,-53.27206390784206,1165,11.65
intensity_ew_resid,h5_L0.5_LO_1x,5,0.5,False,-0.4105785150257406,-33.414101628005234,-0.4104273653654963,0.04,-52.691883393684655,1192,11.92
breadth_bottom200,h5_L0.5_LO_sc,5,0.5,True,-0.41660034064153706,-34.083091290027205,-0.41263857817302574,0.06,-53.713234658303584,1246,12.46
breadth_deficit,h5_L1.0_LO_1x,5,1.0,False,-0.39658251723600924,-34.40338442397176,-0.3953830632447638,0.04,-50.3612876288482,1205,12.05
deficit_resid_cw,h5_L0.5_LO_1x,5,0.5,False,-0.4079960191087767,-34.91368835231628,-0.40421186339111315,0.04,-52.259966661576975,1136,11.36
breadth_spread,h5_L1.0_LO_1x,5,1.0,False,-0.39933943583395537,-37.19894697547231,-0.39703233094678136,0.03,-50.820236631102134,1181,11.81
breadth_top50,h5_L0.7_LO_sc,5,0.7,True,-0.41977965440721376,-37.553819246271225,-0.41554275416647524,0.03,-54.2615431426678,1263,12.63
top30_breadth_resid,h3_L0.5_LO_sc,3,0.5,True,-0.46972549574962896,-37.697891124797614,-0.46791977260745476,0.02,-63.201201859745844,1089,10.89
neg_breadth_resid,h5_L1.0_LO_1x,5,1.0,False,-0.3824582361294486,-39.500307878259,-0.37922147336115375,0.03,-48.06692368948593,913,9.13
spread_resid_cw,h5_L1.0_LO_1x,5,1.0,False,-0.40386323997638385,-40.69793133838298,-0.40053384485349974,0.05,-51.5754826671643,1116,11.16
breadth_top50,h5_L1.0_LO_1x,5,1.0,False,-0.40451352409572106,-41.229425610813585,-0.39978452784746077,0.02,-51.684499113093956,1196,11.96
breadth_spread,h5_L0.5_LO_1x,5,0.5,False,-0.42354422753195264,-41.24443721966593,-0.42001368542578,0.03,-54.91277359209959,1277,12.77
breadth_top50,h5_L0.5_LO_sc,5,0.5,True,-0.4178020011736545,-41.84020610090703,-0.4141342279402418,0.03,-53.92826811973429,1294,12.94
top30_breadth_resid,h5_L1.0_LO_1x,5,1.0,False,-0.4080165383787776,-41.90321562850017,-0.4045167019704,0.02,-52.27158958595091,1160,11.6
spread_resid_cw,h5_L0.7_LO_1x,5,0.7,False,-0.4117267954992978,-42.618234472294624,-0.40844131795567096,0.03,-52.89723012571082,1145,11.45
breadth_resid_ew,h5_L1.0_LO_1x,5,1.0,False,-0.40011308438553517,-42.62990098907252,-0.39709023079438643,0.03,-50.9537263277619,1123,11.23
breadth_top30,h5_L1.0_LO_1x,5,1.0,False,-0.3984100216495359,-43.05214840617825,-0.3940153698109574,0.02,-50.672193834585954,1192,11.92
top30_resid_cw,h5_L1.0_LO_1x,5,1.0,False,-0.41621452029804495,-43.411785787491226,-0.4124145221975647,0.04,-53.65904760795124,1176,11.76
neg_breadth_resid,h3_L0.5_LO_sc,3,0.5,True,-0.4327488203791521,-43.59048730003097,-0.42946529099373554,0.04,-56.514500764427666,1300,13.0
breadth_top30,h5_L0.7_LO_1x,5,0.7,False,-0.4149633693562501,-43.68209278558673,-0.4110406244087538,0.04,-53.44649217301764,1283,12.83
breadth_bottom200,h5_L1.0_LO_1x,5,1.0,False,-0.41392169044313865,-43.98434574449425,-0.41060921101517167,0.04,-53.26990221735452,1101,11.01
spread_resid_cw,h5_L0.5_LO_1x,5,0.5,False,-0.4136515697813107,-44.38517672753231,-0.41053595509534146,0.03,-53.22447167118214,1161,11.61
deficit_resid_cw,h5_L0.7_LO_1x,5,0.7,False,-0.4060379418154094,-44.57460418464611,-0.40194657775801157,0.02,-51.94206179385513,1207,12.07
