label,hold,th_long_mult,th_short_mult,scaled,ret,ann,sharpe,dd,wr,avg_bps,trades,trades_per_day
h8_L0.5_S2.0_1x,8,0.5,2.0,False,65.37634190372968,25659.91985125202,23.092142790979082,-0.027024877154091964,0.83,432.56026767305946,1392,13.92
h8_L0.5_LO_1x,8,0.5,999.0,False,65.37634190372968,25659.91985125202,23.092142790979082,-0.027024877154091964,0.83,432.56026767305946,1392,13.92
h8_L0.5_S1.5_1x,8,0.5,1.5,False,58.22421921196521,19472.69717160076,22.336643504414504,-0.027024877154091964,0.83,420.7248875104245,1385,13.85
h8_L0.5_S2.0_sc,8,0.5,2.0,True,1003.741272006073,18406501.164741762,21.432514358631163,-0.044791929862886715,0.8,728.8025598944218,1328,13.28
h8_L0.5_LO_sc,8,0.5,999.0,True,1003.741272006073,18406501.164741762,21.432514358631163,-0.044791929862886715,0.8,728.8025598944218,1328,13.28
h8_L0.5_S1.5_sc,8,0.5,1.5,True,806.2218981323651,10837344.080187077,20.84464524306015,-0.044791929862886715,0.79,705.2417771189623,1321,13.21
h5_L0.5_S2.0_1x,5,0.5,2.0,False,26.51288563555724,3044.6322731389596,20.827534694137803,-0.01628879481598078,0.82,340.1497468912899,1744,17.44
h5_L0.5_LO_1x,5,0.5,999.0,False,26.656465555128044,3083.238535251493,20.82215204222313,-0.01628879481598078,0.82,340.69944282595014,1743,17.43
h8_L0.7_LO_1x,8,0.7,999.0,False,22.44723500061827,2067.3391838813345,20.425621153394793,-0.016805942579448008,0.82,323.4503783940168,1031,10.31
h8_L0.7_S2.0_1x,8,0.7,2.0,False,22.44723500061827,2067.3391838813345,20.425621153394793,-0.016805942579448008,0.82,323.4503783940168,1031,10.31
h5_L0.7_LO_1x,5,0.7,999.0,False,12.106322292099655,505.17843741453885,20.413285288913258,-0.017381244178864552,0.88,262.59045613301726,1298,12.98
h5_L0.7_S2.0_1x,5,0.7,2.0,False,12.036395919580212,498.6676707119758,20.37423608974454,-0.01738124417886444,0.88,262.040760198357,1299,12.99
h8_L0.7_LO_sc,8,0.7,999.0,True,86.03849287369596,49441.622343809795,20.3669142411871,-0.01670674871002853,0.82,462.7091594469158,1027,10.27
h8_L0.7_S2.0_sc,8,0.7,2.0,True,86.03849287369596,49441.622343809795,20.3669142411871,-0.01670674871002853,0.82,462.7091594469158,1027,10.27
