label,segment,min_consensus_short,n_trades,n_trade_days,win_rate,avg_net_bps,median_net_bps,p25_net_bps,p75_net_bps,first_half_avg_net_bps,second_half_avg_net_bps,sharpe_unlevered,max_drawdown_unlevered,if_initial_capital,if_ending_equity,if_total_return,if_annual_return,if_sharpe,if_max_drawdown,if_calmar,if_trade_days,if_avg_contracts_on_trade_day
consensus>=0,train,0,38,32,0.6578947368421053,7.358920014235406,5.016600310648495,-8.788938121608485,22.488947608938194,3.677909610616685,11.039930417854128,1.5987484457618597,-0.01488001646227255,500000.0,628527.910184204,0.2570558203684079,0.360118320719494,1.6621159794109492,-0.12339069899483623,2.918520793326283,32,3.9375
consensus>=0,oos,0,9,8,0.7777777777777778,17.4367157942472,10.195079793601058,3.826395152157682,23.092079481402582,6.669212286721662,26.05071860026763,3.116225075022998,-0.0006710677581679425,500000.0,571814.6280546522,0.14362925610930444,1.2996804400409023,3.0401912501447006,-0.00639639834165362,203.18941545233787,8,3.625
consensus>=1,train,1,37,31,0.6756756756756757,7.883024799531439,6.049637015989525,-6.614388421029302,23.7210108063428,4.55073553574638,11.039930417854128,1.6712647607124655,-0.014449980622199377,500000.0,634253.3994705816,0.26850679894116314,0.37680181603009566,1.745498244892041,-0.11193269688824148,3.3663248229095304,31,3.967741935483871
consensus>=1,oos,1,9,8,0.7777777777777778,13.962347681387214,10.195079793601058,3.826395152157682,23.092079481402582,6.669212286721662,19.796855997119657,3.254280792115453,-0.0006710677581679425,500000.0,554946.1735198766,0.10989234703975304,0.9097368223348317,3.188232980782958,-0.006591666678830266,138.0131712752609,8,3.625
consensus>=2,train,2,33,28,0.6363636363636364,5.544366607209511,3.983563605307465,-9.513788021801545,18.792758016724378,0.9771790578052459,9.84289606547235,1.1123787280445763,-0.017827873649641113,500000.0,586623.6720024438,0.17324734400488762,0.23962531035179646,1.2073484190451422,-0.14279754367962483,1.6780772566327244,28,3.857142857142857
consensus>=2,oos,2,8,7,0.75,15.229341747540905,12.404726623140728,3.088002195092369,25.245891179055153,6.669212286721662,23.789471208360148,3.1535449401000015,-0.0006710677581679425,500000.0,553291.1045607623,0.1065822091215245,0.8746681284361353,3.098101817338299,-0.006591666678830266,132.69301544709643,7,3.7142857142857144
consensus>=3,train,3,29,26,0.6551724137931034,7.303911137918465,6.049637015989525,-9.513788021801545,18.792758016724378,2.84769811748643,11.463043290321698,1.4064938939041431,-0.012459562383381972,500000.0,599284.1630633106,0.19856832612662112,0.2757270374520904,1.474517999526705,-0.10181921843173991,2.7080058332694734,26,3.730769230769231
consensus>=3,oos,3,8,7,0.75,15.229341747540905,12.404726623140728,3.088002195092369,25.245891179055153,6.669212286721662,23.789471208360148,3.1535449401000015,-0.0006710677581679425,500000.0,553291.1045607623,0.1065822091215245,0.8746681284361353,3.098101817338299,-0.006591666678830266,132.69301544709643,7,3.7142857142857144
consensus>=4,train,4,21,19,0.5714285714285714,3.6256547119899163,3.983563605307465,-21.148832481638532,18.792758016724378,0.7470218878514713,6.2425936430248665,0.5623874157520629,-0.012459562383381972,500000.0,535541.5088274273,0.07108301765485447,0.09671945131019966,0.6646484173042092,-0.10187081541986054,0.9494323856304719,19,3.473684210526316
consensus>=4,oos,4,7,6,0.8571428571428571,19.888366650696174,14.614373452680397,8.27465429047535,27.399702876707728,14.686893907144205,23.789471208360148,3.6877973754451383,-0.0006710677581679425,500000.0,560572.4966729366,0.12114499334587325,1.033095238718273,3.604119600314099,-0.006505934251489598,158.79275731717325,6,3.8333333333333335
