date,equity,day_pnl,contracts
2026-03-06,492718.6078878257,-7281.392112174325,3
2026-03-09,492718.6078878257,0.0,0
2026-03-10,492718.6078878257,0.0,0
2026-03-11,501624.0234030079,8905.415515182172,3
2026-03-12,485357.6955569757,-16266.32784603217,3
2026-03-13,485357.6955569757,0.0,0
2026-03-16,485357.6955569757,0.0,0
2026-03-17,495163.0543463689,9805.358789393165,3
2026-03-18,495163.0543463689,0.0,0
2026-03-19,495163.0543463689,0.0,0
2026-03-20,497798.8519896494,2635.7976432805044,3
2026-03-23,547439.7966217682,49640.94463211874,6
2026-03-24,542645.9777310481,-4793.818890720036,4
2026-03-25,542645.9777310481,0.0,0
2026-03-26,542645.9777310481,0.0,0
2026-03-27,542645.9777310481,0.0,0
2026-03-30,542645.9777310481,0.0,0
2026-03-31,542645.9777310481,0.0,0
2026-04-01,539914.2622078739,-2731.715523174252,3
2026-04-02,539914.2622078739,0.0,0
2026-04-03,539914.2622078739,0.0,0
2026-04-07,539914.2622078739,0.0,0
2026-04-08,539914.2622078739,0.0,0
2026-04-09,539914.2622078739,0.0,0
2026-04-10,539914.2622078739,0.0,0
2026-04-13,539914.2622078739,0.0,0
2026-04-14,539914.2622078739,0.0,0
2026-04-15,539914.2622078739,0.0,0
2026-04-16,539914.2622078739,0.0,0
2026-04-17,539914.2622078739,0.0,0
2026-04-20,539914.2622078739,0.0,0
2026-04-21,527196.3822115845,-12717.879996289392,3
2026-04-22,528851.4511706987,1655.0689591142836,3
2026-04-23,528851.4511706987,0.0,0
2026-04-24,528851.4511706987,0.0,0
2026-04-27,528851.4511706987,0.0,0
2026-04-28,534124.8331296858,5273.381958987093,3
2026-04-29,534124.8331296858,0.0,0
2026-04-30,534124.8331296858,0.0,0
