candidate,rule,states,require_highconf,minute_min,hold_bars,dir5_abs_min,dir10_max,exh10_q,ipg10_q,n_days,n_trades,win_rate,avg_net_bps,total_return_unlevered,annual_return_unlevered,sharpe_unlevered,max_drawdown_unlevered,calmar_unlevered,if_initial_capital,if_ending_equity,if_total_return,if_annual_return,if_sharpe,if_max_drawdown,if_calmar,if_trade_days,if_avg_contracts_on_trade_day
score_selected_fixed,ED,EMERGING_DOWN,1,30,30,0.75,0.45,0.8,-1.0,80,24,0.75,18.19871286432644,0.04446031631724279,0.14063877291721516,4.1747812028527616,-0.005440304070089552,25.851270646881346,500000.0,718739.1605882925,0.43747832117658514,1.9973947607072162,4.242949257284382,-0.04371656041474192,45.68965951936289,19,4.7894736842105265
ipg0_fixed,ED,EMERGING_DOWN,0,30,30,0.75,0.45,0.9,0.4,80,20,0.7,15.21908201483563,0.03074475709092228,0.09592840055429108,3.0392621095096293,-0.0062433409424497155,15.364914624805259,500000.0,639529.0330216528,0.27905806604330574,1.1054408211245752,2.8717155404455252,-0.05933764077798953,18.62967260967718,16,4.375
ipg_m008_fixed,ED,EMERGING_DOWN,0,30,30,0.75,0.0,0.9,0.4,80,19,0.7368421052631579,16.03820183335388,0.03078662629029738,0.09606306996017411,3.106786541485301,-0.0031808072846865043,30.200845685513432,500000.0,638805.810859587,0.2776116217191742,1.0982466209460364,2.896213439819213,-0.026946464293396533,40.75661314924984,15,4.333333333333333
base_exh90_fixed,ED,EMERGING_DOWN,1,30,30,0.75,0.45,0.9,-1.0,80,27,0.7037037037037037,16.678253535337145,0.04583263536854032,0.145178338411468,3.8540495534810666,-0.005440304070089552,26.685702957238973,500000.0,733296.8648142932,0.4665937296285865,2.184837052143994,3.9043063015920123,-0.0445875315784755,49.00107664176497,22,4.681818181818182
