candidate,th_exh10_max,th_ipg10_min,n,avg,win,unlev_total,maxdd,if_end,if_total,if_dd,if_sharpe,selected
score_selected_fixed,0.537242281596029,-inf,4,-3.458483482978276,0.75,-0.0013874369478767967,-0.0029630903278790033,494075.3213270267,-0.01184935734594661,-0.025435759992578744,-1.5210263239717146,
ipg0_fixed,0.6946952751024055,0.03375154704293143,1,10.195079793601058,1.0,0.0010195079793600126,0.0,504373.99508384865,0.008747990167697228,0.0,3.666666666666667,
ipg_m008_fixed,0.6978014226385256,0.00263707723449272,2,8.052461289158721,1.0,0.0016109620828099747,0.0,506928.45091810136,0.013856901836202695,0.0,4.673651107811886,
base_exh90_fixed,0.6978014226385256,-inf,4,-3.458483482978276,0.75,-0.0013874369478767967,-0.0029630903278790033,494075.3213270267,-0.01184935734594661,-0.025435759992578744,-1.5210263239717146,
grid_selected_partial,0.537242281596029,-inf,4,-2.9376215748386008,0.75,-0.0011795931482555533,-0.0029630903278790033,,,,,"{'rule': 'ED', 'states': 'EMERGING_DOWN', 'require_highconf': 1, 'minute_min': 30, 'hold_bars': 30, 'dir5_abs_min': 0.75, 'dir10_max': 0.0, 'exh10_q': 0.8, 'ipg10_q': -1.0}"
