stop,trail_act,trail_back,train_n,train_avg,train_win,train_total,train_dd,train_if_total,train_if_dd,oos_n,oos_avg,oos_win,oos_total,oos_dd,oos_if_total,oos_if_dd,oos_if_sharpe
0,0,0,38,7.358920014235406,0.6578947368421053,0.028145207307943787,-0.01488001646227255,0.2570558203684079,-0.12339069899483623,9,17.4367157942472,0.7777777777777778,0.015734323159001473,-0.0006710677581679425,0.14362925610930444,-0.00639639834165362,3.0401912501447006
0,20,10,38,3.609883305098608,0.6578947368421053,0.013666527117839111,-0.01488001646227255,0.11452321136694943,-0.12339069899483623,9,11.20650259660708,0.7777777777777778,0.01010807656067847,-0.0006710677581678315,0.08336093340210948,-0.00507392492617964,3.4436553708448367
0,25,12,38,4.668817227177742,0.6578947368421053,0.017741060222240757,-0.01488001646227255,0.14696792227092237,-0.12339069899483623,9,10.457017838940502,0.7777777777777778,0.009431248026156691,-0.0006710677581678315,0.07794454196570921,-0.005099577016996926,3.485234568183983
0,30,15,38,6.03801533326474,0.6578947368421053,0.023021783607165336,-0.01488001646227255,0.21483429794115816,-0.12339069899483623,9,10.951614379985575,0.7777777777777778,0.009877897605925723,-0.0006710677581679425,0.08156056695308234,-0.005082422799886799,3.457608659597231
0,40,20,38,6.267572820940451,0.6578947368421053,0.023904428400562283,-0.01488001646227255,0.22272513709337804,-0.12339069899483623,9,12.932205120300305,0.7777777777777778,0.011666486786081842,-0.0006710677581678315,0.10022487233771393,-0.006649838840164901,3.2428328539772235
12,0,0,39,0.5165576393155771,0.48717948717948717,0.0018950048547814458,-0.0190030004676508,0.01521815361236123,-0.1632199445379997,9,10.058685392636946,0.5555555555555556,0.009007429332803296,-0.003308393460262682,0.06798758764644353,-0.02945932989476907,1.669053540597965
12,20,10,39,-1.1801998755606895,0.48717948717948717,-0.004688242364884854,-0.0190030004676508,-0.04081807658309666,-0.1632199445379997,9,3.8284721949968255,0.5555555555555556,0.0034184436231241566,-0.003308393460262682,0.02757327284277511,-0.026155330594444415,1.1053734655546954
12,25,12,39,-0.14841810532973837,0.48717948717948717,-0.0006874880761782443,-0.0190030004676508,-0.006496599108540835,-0.1632199445379997,9,3.0789874373302464,0.5555555555555556,0.002746097514357615,-0.00330839346026246,0.022156881406375284,-0.026290283488851984,0.9578604115128432
12,30,15,39,0.06938633028535399,0.48717948717948717,0.0001606673785097268,-0.0190030004676508,0.0007156332214899308,-0.1632199445379997,9,3.5735839783753196,0.5555555555555556,0.0031897890722971667,-0.003308393460262571,0.025772906393748185,-0.026200033901848996,1.058786613464318
12,40,20,39,0.5165576393155771,0.48717948717948717,0.0018950048547814458,-0.0190030004676508,0.01521815361236123,-0.1632199445379997,9,5.554174718690051,0.5555555555555556,0.004966532980279936,-0.003308393460262682,0.04025312413163351,-0.025844757723259004,1.3764493438440066
