name,rule,states,require_highconf,minute_min,hold_bars,dir5_abs_min,dir10_max,exh10_q,ipg10_q,th_exh10_max,th_ipg10_min,train_n_trades,train_win_rate,train_avg_net_bps,train_median_net_bps,train_p25_net_bps,train_total_return_unlevered,train_annual_return_unlevered,train_sharpe_unlevered,train_max_drawdown_unlevered,train_calmar_unlevered,oos_n_trades,oos_win_rate,oos_avg_net_bps,oos_median_net_bps,oos_p25_net_bps,oos_total_return_unlevered,oos_annual_return_unlevered,oos_sharpe_unlevered,oos_max_drawdown_unlevered,oos_calmar_unlevered,oos_if_initial_capital,oos_if_ending_equity,oos_if_total_return,oos_if_annual_return,oos_if_sharpe,oos_if_max_drawdown,oos_if_calmar,oos_if_trade_days,oos_if_avg_contracts_on_trade_day,train_if_initial_capital,train_if_ending_equity,train_if_total_return,train_if_annual_return,train_if_sharpe,train_if_max_drawdown,train_if_calmar,train_if_trade_days,train_if_avg_contracts_on_trade_day
score_selected,ED,EMERGING_DOWN,1,30,30,0.75,0.45,0.8,-1.0,0.4911500222340841,-inf,44,0.7045454545454546,11.299289375727776,8.2581764029416,-7.628681419520753,0.050733745777413075,0.06879820273238679,2.735737581052561,-0.010565499903354314,6.511589925862843,12,0.5833333333333334,1.9184927931813747,2.800944776637847,-17.879557710765628,0.0022484785382976824,0.014034000400056534,0.5399872053162158,-0.0038709997015854425,3.62542017099837,500000.0,508125.8595957254,0.016251719191450853,0.10520775223107637,0.5571432600870309,-0.032966282283987236,3.191374487567835,10,3.6,500000.0,761749.0324183982,0.5234980648367964,0.7612491071744794,2.7664465412569514,-0.09223915369870905,8.252993188348535,38,4.052631578947368
ipg0_oos_strong,ED,EMERGING_DOWN,0,30,30,0.75,0.45,0.9,0.4,0.6558249921746806,0.0,38,0.6578947368421053,7.358920014235406,5.016600310648495,-8.788938121608485,0.028145207307943787,0.03802197006438046,1.5987484457618597,-0.01488001646227255,2.5552370967319185,9,0.7777777777777778,17.4367157942472,10.195079793601058,3.826395152157682,0.015734323159001473,0.10172083963161382,3.116225075022998,-0.0006710677581679425,151.5805794474736,500000.0,571814.6280546522,0.14362925610930444,1.2996804400409023,3.0401912501447006,-0.00639639834165362,203.18941545233787,8,3.625,500000.0,628527.910184204,0.2570558203684079,0.360118320719494,1.6621159794109492,-0.12339069899483623,2.918520793326283,32,3.9375
ipg_m008_balanced,ED,EMERGING_DOWN,0,30,30,0.75,0.0,0.9,0.4,0.6618035477615665,-0.07982586563191854,34,0.7058823529411765,8.673206700829251,8.2581764029416,-7.203258548170525,0.02975409368677351,0.04020639594291198,1.8716545624544283,-0.012780775635276798,3.1458494453135133,9,0.6666666666666666,11.743279923583192,6.354228787349641,-6.710677581679446,0.01053616963770776,0.06719772595667717,1.9951134910206298,-0.0038709997015854425,17.35926921646495,500000.0,542731.116501513,0.08546223300302613,0.6633892395685801,1.996427959474126,-0.033013423048425694,20.09453059731154,8,3.375,500000.0,641191.838521567,0.28238367704313405,0.3970893274022793,1.9504268070013182,-0.10750675150260125,3.693622231648133,30,3.7666666666666666
ipg_q25_balanced,ED,EMERGING_DOWN,1,30,30,0.75,0.0,0.9,0.25,0.6618035477615665,-0.3573791337609978,39,0.6666666666666666,8.577569988913377,8.190357033050441,-10.19736524539121,0.03382032527583401,0.04573246051698199,1.9955071695266855,-0.012301842132127039,3.7175294582547744,12,0.5833333333333334,7.337367452181263,5.090311969753661,-11.10314534864331,0.008747975335603009,0.05553342368131542,1.5953444282082363,-0.0045298555122913475,12.259424948683368,500000.0,534124.8331296858,0.06824966625937168,0.5063232790666776,1.5996567802052923,-0.03697833905226666,13.692428920374711,11,3.3636363636363638,500000.0,662937.2410787354,0.32587448215747084,0.46115970694243646,2.069022604235492,-0.10525552253459847,4.381335020125419,35,3.7142857142857144
base_exh90,ED,EMERGING_DOWN,1,30,30,0.75,0.45,0.9,-1.0,0.661139263807468,-inf,48,0.6875,9.96336347977492,8.2581764029416,-9.855576633596378,0.04871099972129489,0.06603289678823265,2.447233737730211,-0.010602052316462163,6.228312671660859,14,0.5714285714285714,4.883837362522132,2.800944776637847,-15.29027016591175,0.006767669285624223,0.0427409674778958,1.2522843700999742,-0.00452985551229157,9.43539310733422,500000.0,525788.7403954802,0.05157748079096036,0.3662429234503253,1.2456823051384562,-0.037540712293601675,9.755886371733725,12,3.5833333333333335,500000.0,744773.9651338329,0.48954793026766574,0.7086855134924432,2.498875722280372,-0.09543806921804787,7.425606147514422,42,3.9047619047619047
