train_start,train_end,test_start,test_end,selected_rule,selected_states,selected_require_highconf,selected_minute_min,selected_hold_bars,selected_dir5_abs_min,selected_dir10_max,selected_exh10_q,selected_ipg10_q,th_exh10_max,th_ipg10_min,train_n_trades,train_avg_net_bps,train_total_return,test_n_trades,test_avg_net_bps,test_total_return,score
2025-06-09,2025-12-01,2025-12-02,2025-12-29,ED,EMERGING_DOWN,0,30,45,0.75,0.45,0.8,-1.0,0.45593572698054347,-inf,26,5.711462757826212,0.014816184469472748,3,-0.30008623653649796,-9.167521465769379e-05,-15.068558564695287
2025-07-07,2025-12-29,2025-12-30,2026-01-28,ED,EMERGING_DOWN,0,30,30,0.75,0.45,0.8,-1.0,0.5114106209398397,-inf,28,6.803374332553636,0.019097513419334078,10,38.4735747233809,0.039092736015695406,45.883386957234286
2025-08-04,2026-01-28,2026-01-29,2026-03-05,ED,EMERGING_DOWN,0,30,30,0.75,0.45,0.8,-1.0,0.5114106209398397,-inf,31,19.584867101988014,0.062367114917765365,4,-9.302334937539733,-0.003724529672493593,128.10115267446255
2025-09-01,2026-03-05,2026-03-06,2026-04-02,ED,EMERGING_DOWN,1,30,30,0.75,0.45,0.8,-1.0,0.4597944447364692,-inf,30,19.551150663822195,0.06020752291206066,8,4.6069809312612,0.003640967098452963,125.75483508093883
