date,equity,day_pnl,contracts
2026-03-06,492718.6078878257,-7281.392112174325,3
2026-03-09,492718.6078878257,0.0,0
2026-03-10,492718.6078878257,0.0,0
2026-03-11,492718.6078878257,0.0,0
2026-03-12,476452.28004179354,-16266.32784603217,3
2026-03-13,476452.28004179354,0.0,0
2026-03-16,476452.28004179354,0.0,0
2026-03-17,486257.6388311867,9805.358789393165,3
2026-03-18,486257.6388311867,0.0,0
2026-03-19,486257.6388311867,0.0,0
2026-03-20,488893.4364744672,2635.7976432805044,3
2026-03-23,538534.381106586,49640.94463211874,6
2026-03-24,538534.381106586,0.0,0
2026-03-25,538534.381106586,0.0,0
2026-03-26,538534.381106586,0.0,0
2026-03-27,538534.381106586,0.0,0
2026-03-30,538534.381106586,0.0,0
2026-03-31,538534.381106586,0.0,0
2026-04-01,535802.6655834117,-2731.715523174252,3
2026-04-02,535802.6655834117,0.0,0
2026-04-03,535802.6655834117,0.0,0
2026-04-07,535802.6655834117,0.0,0
2026-04-08,535802.6655834117,0.0,0
2026-04-09,535802.6655834117,0.0,0
2026-04-10,535802.6655834117,0.0,0
2026-04-13,535802.6655834117,0.0,0
2026-04-14,535802.6655834117,0.0,0
2026-04-15,535802.6655834117,0.0,0
2026-04-16,535802.6655834117,0.0,0
2026-04-17,535802.6655834117,0.0,0
2026-04-20,535802.6655834117,0.0,0
2026-04-21,535802.6655834117,0.0,0
2026-04-22,537457.734542526,1655.0689591142836,3
2026-04-23,537457.734542526,0.0,0
2026-04-24,537457.734542526,0.0,0
2026-04-27,537457.734542526,0.0,0
2026-04-28,542731.116501513,5273.381958987093,3
2026-04-29,542731.116501513,0.0,0
2026-04-30,542731.116501513,0.0,0
