date,equity,day_pnl,contracts
2025-06-09,500000.0,0.0,0
2025-06-10,500000.0,0.0,0
2025-06-11,500000.0,0.0,0
2025-06-12,501437.56831464864,1437.5683146486529,4
2025-06-13,501437.56831464864,0.0,0
2025-06-16,501437.56831464864,0.0,0
2025-06-17,495689.18407667923,-5748.384237969434,4
2025-06-18,495689.18407667923,0.0,0
2025-06-19,495689.18407667923,0.0,0
2025-06-20,495689.18407667923,0.0,0
2025-06-23,495689.18407667923,0.0,0
2025-06-24,495689.18407667923,0.0,0
2025-06-25,483971.3170968149,-11717.866979864302,4
2025-06-26,480612.0071093161,-3359.3099874987834,4
2025-06-27,480612.0071093161,0.0,0
2025-06-30,480612.0071093161,0.0,0
2025-07-01,474861.4615111641,-5750.545598152032,4
2025-07-02,471446.77271437907,-3414.6887967850107,3
2025-07-03,471446.77271437907,0.0,0
2025-07-04,471446.77271437907,0.0,0
2025-07-07,471446.77271437907,0.0,0
2025-07-08,471446.77271437907,0.0,0
2025-07-09,471446.77271437907,0.0,0
2025-07-10,471446.77271437907,0.0,0
2025-07-11,471446.77271437907,0.0,0
2025-07-14,471446.77271437907,0.0,0
2025-07-15,486931.40931614855,15484.63660176947,3
2025-07-16,489785.0143499704,2853.6050338218297,3
2025-07-17,489785.0143499704,0.0,0
2025-07-18,489785.0143499704,0.0,0
2025-07-21,489785.0143499704,0.0,0
2025-07-22,489785.0143499704,0.0,0
2025-07-23,473707.67010644346,-16077.344243526919,3
2025-07-24,482000.2978983718,8292.627791928344,6
2025-07-25,482000.2978983718,0.0,0
2025-07-28,482000.2978983718,0.0,0
2025-07-29,471305.51230817,-10694.785590201822,3
2025-07-30,471305.51230817,0.0,0
2025-07-31,471305.51230817,0.0,0
2025-08-01,471305.51230817,0.0,0
2025-08-04,471305.51230817,0.0,0
2025-08-05,471305.51230817,0.0,0
2025-08-06,471305.51230817,0.0,0
2025-08-07,471305.51230817,0.0,0
2025-08-08,471305.51230817,0.0,0
2025-08-11,471305.51230817,0.0,0
2025-08-12,471305.51230817,0.0,0
2025-08-13,471305.51230817,0.0,0
2025-08-14,471305.51230817,0.0,0
2025-08-15,471305.51230817,0.0,0
2025-08-18,455185.39138056687,-16120.120927603097,3
2025-08-19,455185.39138056687,0.0,0
2025-08-20,455185.39138056687,0.0,0
2025-08-21,455185.39138056687,0.0,0
2025-08-22,455185.39138056687,0.0,0
2025-08-25,455185.39138056687,0.0,0
2025-08-26,455185.39138056687,0.0,0
2025-08-27,455185.39138056687,0.0,0
2025-08-28,455185.39138056687,0.0,0
2025-08-29,455185.39138056687,0.0,0
2025-09-01,455185.39138056687,0.0,0
2025-09-02,455185.39138056687,0.0,0
2025-09-03,455185.39138056687,0.0,0
2025-09-04,460587.99523157254,5402.603851005649,3
2025-09-05,460587.99523157254,0.0,0
2025-09-08,460587.99523157254,0.0,0
2025-09-09,460587.99523157254,0.0,0
2025-09-10,460587.99523157254,0.0,0
2025-09-11,460587.99523157254,0.0,0
2025-09-12,460587.99523157254,0.0,0
