date,equity,day_pnl,contracts
2026-03-06,492718.6078878257,-7281.392112174325,3
2026-03-09,492718.6078878257,0.0,0
2026-03-10,492718.6078878257,0.0,0
2026-03-11,498917.58667524916,6198.978787423444,3
2026-03-12,498917.58667524916,0.0,0
2026-03-13,498917.58667524916,0.0,0
2026-03-16,498917.58667524916,0.0,0
2026-03-17,508722.9454646423,9805.358789393165,3
2026-03-18,508722.9454646423,0.0,0
2026-03-19,508722.9454646423,0.0,0
2026-03-20,511358.74310792284,2635.7976432805044,3
2026-03-23,569427.8513759216,58069.108267998694,7
2026-03-24,569427.8513759216,0.0,0
2026-03-25,569427.8513759216,0.0,0
2026-03-26,569427.8513759216,0.0,0
2026-03-27,569427.8513759216,0.0,0
2026-03-30,569427.8513759216,0.0,0
2026-03-31,569427.8513759216,0.0,0
2026-04-01,565785.5640116893,-3642.2873642323366,4
2026-04-02,565785.5640116893,0.0,0
2026-04-03,565785.5640116893,0.0,0
2026-04-07,565785.5640116893,0.0,0
2026-04-08,565785.5640116893,0.0,0
2026-04-09,565785.5640116893,0.0,0
2026-04-10,565785.5640116893,0.0,0
2026-04-13,565785.5640116893,0.0,0
2026-04-14,565785.5640116893,0.0,0
2026-04-15,565785.5640116893,0.0,0
2026-04-16,565785.5640116893,0.0,0
2026-04-17,565785.5640116893,0.0,0
2026-04-20,565785.5640116893,0.0,0
2026-04-21,565785.5640116893,0.0,0
2026-04-22,567440.6329708035,1655.0689591142836,3
2026-04-23,567440.6329708035,0.0,0
2026-04-24,567440.6329708035,0.0,0
2026-04-27,567440.6329708035,0.0,0
2026-04-28,571814.6280546522,4373.995083848662,3
2026-04-29,571814.6280546522,0.0,0
2026-04-30,571814.6280546522,0.0,0
