date,equity,day_pnl,contracts
2026-03-06,492718.6078878257,-7281.392112174325,3
2026-03-09,492718.6078878257,0.0,0
2026-03-10,492718.6078878257,0.0,0
2026-03-11,493423.18026358756,704.5723757618252,6
2026-03-12,477156.8524175554,-16266.32784603217,3
2026-03-13,477156.8524175554,0.0,0
2026-03-16,477156.8524175554,0.0,0
2026-03-17,477156.8524175554,0.0,0
2026-03-18,477156.8524175554,0.0,0
2026-03-19,477156.8524175554,0.0,0
2026-03-20,479792.65006083593,2635.7976432805044,3
2026-03-23,516782.25379187294,36989.60373103699,6
2026-03-24,516782.25379187294,0.0,0
2026-03-25,516782.25379187294,0.0,0
2026-03-26,516782.25379187294,0.0,0
2026-03-27,516782.25379187294,0.0,0
2026-03-30,516782.25379187294,0.0,0
2026-03-31,516782.25379187294,0.0,0
2026-04-01,514050.53826869867,-2731.715523174252,3
2026-04-02,514050.53826869867,0.0,0
2026-04-03,514050.53826869867,0.0,0
2026-04-07,514050.53826869867,0.0,0
2026-04-08,514050.53826869867,0.0,0
2026-04-09,514050.53826869867,0.0,0
2026-04-10,514050.53826869867,0.0,0
2026-04-13,514050.53826869867,0.0,0
2026-04-14,514050.53826869867,0.0,0
2026-04-15,514050.53826869867,0.0,0
2026-04-16,514050.53826869867,0.0,0
2026-04-17,514050.53826869867,0.0,0
2026-04-20,514050.53826869867,0.0,0
2026-04-21,501332.6582724093,-12717.879996289392,3
2026-04-22,502987.72723152355,1655.0689591142836,3
2026-04-23,502987.72723152355,0.0,0
2026-04-24,502987.72723152355,0.0,0
2026-04-27,503751.8645118767,764.1372803531699,3
2026-04-28,508125.8595957254,4373.995083848662,3
2026-04-29,508125.8595957254,0.0,0
2026-04-30,508125.8595957254,0.0,0
