date,equity,day_pnl,contracts
2026-03-06,492718.6078878257,-7281.392112174325,3
2026-03-09,492718.6078878257,0.0,0
2026-03-10,492718.6078878257,0.0,0
2026-03-11,493423.18026358756,704.5723757618252,6
2026-03-12,477156.8524175554,-16266.32784603217,3
2026-03-13,477156.8524175554,0.0,0
2026-03-16,477156.8524175554,0.0,0
2026-03-17,486962.21120694856,9805.358789393165,3
2026-03-18,486962.21120694856,0.0,0
2026-03-19,486962.21120694856,0.0,0
2026-03-20,489598.0088502291,2635.7976432805044,3
2026-03-23,539238.9534823478,49640.94463211874,6
2026-03-24,534445.1345916277,-4793.818890720036,4
2026-03-25,534445.1345916277,0.0,0
2026-03-26,534445.1345916277,0.0,0
2026-03-27,534445.1345916277,0.0,0
2026-03-30,534445.1345916277,0.0,0
2026-03-31,534445.1345916277,0.0,0
2026-04-01,531713.4190684535,-2731.715523174252,3
2026-04-02,531713.4190684535,0.0,0
2026-04-03,531713.4190684535,0.0,0
2026-04-07,531713.4190684535,0.0,0
2026-04-08,531713.4190684535,0.0,0
2026-04-09,531713.4190684535,0.0,0
2026-04-10,531713.4190684535,0.0,0
2026-04-13,531713.4190684535,0.0,0
2026-04-14,531713.4190684535,0.0,0
2026-04-15,531713.4190684535,0.0,0
2026-04-16,531713.4190684535,0.0,0
2026-04-17,531713.4190684535,0.0,0
2026-04-20,531713.4190684535,0.0,0
2026-04-21,518995.5390721641,-12717.879996289392,3
2026-04-22,520650.60803127836,1655.0689591142836,3
2026-04-23,520650.60803127836,0.0,0
2026-04-24,520650.60803127836,0.0,0
2026-04-27,521414.74531163153,764.1372803531699,3
2026-04-28,525788.7403954802,4373.995083848662,3
2026-04-29,525788.7403954802,0.0,0
2026-04-30,525788.7403954802,0.0,0
