date,equity,day_pnl,contracts
2025-12-02,500000.0,0.0,0
2025-12-03,500000.0,0.0,0
2025-12-04,500000.0,0.0,0
2025-12-05,500000.0,0.0,0
2025-12-08,500000.0,0.0,0
2025-12-09,500000.0,0.0,0
2025-12-10,500000.0,0.0,0
2025-12-11,500000.0,0.0,0
2025-12-12,500000.0,0.0,0
2025-12-15,500000.0,0.0,0
2025-12-16,497231.02249404293,-2768.9775059570757,3
2025-12-17,497231.02249404293,0.0,0
2025-12-18,497231.02249404293,0.0,0
2025-12-19,497231.02249404293,0.0,0
2025-12-22,493517.3732583957,-3713.6492356472495,3
2025-12-23,499704.55962818296,6187.186369787287,3
2025-12-24,499704.55962818296,0.0,0
2025-12-25,499704.55962818296,0.0,0
2025-12-26,499704.55962818296,0.0,0
2025-12-29,499704.55962818296,0.0,0
2025-12-30,499704.55962818296,0.0,0
2025-12-31,499704.55962818296,0.0,0
2026-01-05,499704.55962818296,0.0,0
2026-01-06,499704.55962818296,0.0,0
2026-01-07,499704.55962818296,0.0,0
2026-01-08,499704.55962818296,0.0,0
2026-01-09,523900.9677245314,24196.408096348467,3
2026-01-12,523900.9677245314,0.0,0
2026-01-13,565026.2295801628,41125.26185563127,6
2026-01-14,603712.449542945,38686.219962782285,3
2026-01-15,613096.0718387703,9383.622295825313,4
2026-01-16,613096.0718387703,0.0,0
2026-01-19,613096.0718387703,0.0,0
2026-01-20,623758.3310271391,10662.259188368744,4
2026-01-21,623758.3310271391,0.0,0
2026-01-22,659725.5322782457,35967.20125110655,4
2026-01-23,659725.5322782457,0.0,0
2026-01-26,659725.5322782457,0.0,0
2026-01-27,670225.7268213391,10500.19454309349,8
2026-01-28,689309.98713402,19084.26031268083,4
2026-01-29,689309.98713402,0.0,0
2026-01-30,689309.98713402,0.0,0
2026-02-02,689309.98713402,0.0,0
2026-02-03,689309.98713402,0.0,0
2026-02-04,689309.98713402,0.0,0
2026-02-05,689309.98713402,0.0,0
2026-02-06,689309.98713402,0.0,0
2026-02-09,689309.98713402,0.0,0
2026-02-10,689155.754569362,-154.2325646579621,4
2026-02-11,689155.754569362,0.0,0
2026-02-12,689155.754569362,0.0,0
2026-02-13,689155.754569362,0.0,0
2026-02-24,689155.754569362,0.0,0
2026-02-25,689155.754569362,0.0,0
2026-02-26,693805.5840641655,4649.829494803396,4
2026-02-27,693805.5840641655,0.0,0
2026-03-02,693805.5840641655,0.0,0
2026-03-03,668348.8455048674,-25456.738559298028,8
2026-03-04,668348.8455048674,0.0,0
2026-03-05,668348.8455048674,0.0,0
2026-03-06,658640.322688635,-9708.522816232433,4
2026-03-09,658640.322688635,0.0,0
2026-03-10,658640.322688635,0.0,0
2026-03-11,659579.752522984,939.4298343490991,8
2026-03-12,637891.3153949411,-21688.437128042897,4
2026-03-13,637891.3153949411,0.0,0
2026-03-16,637891.3153949411,0.0,0
2026-03-17,637891.3153949411,0.0,0
2026-03-18,637891.3153949411,0.0,0
2026-03-19,637891.3153949411,0.0,0
2026-03-20,641405.7122526484,3514.396857707339,4
2026-03-23,694936.2338962171,53530.52164356868,9
2026-03-24,694936.2338962171,0.0,0
2026-03-25,694936.2338962171,0.0,0
2026-03-26,694936.2338962171,0.0,0
2026-03-27,694936.2338962171,0.0,0
2026-03-30,694936.2338962171,0.0,0
2026-03-31,694936.2338962171,0.0,0
2026-04-01,690383.3746909266,-4552.8592052904205,5
2026-04-02,690383.3746909266,0.0,0
