date,signal_datetime,entry_datetime,exit_datetime,signal_minute_idx,entry_minute_idx,exit_minute_idx,hold_bars,side,entry_px,exit_px,gross_bps,net_bps,state,DirScore_5,DirScore_10,GateScore_5,GateScore_10,Exhaustion_10,IPG_10,signal_side_5
2026-04-21,2026-04-21 13:18:00,2026-04-21 13:19:00,2026-04-21 13:49:00,137,138,168,30,-1,4.769,4.781,-25.13090327878985,-29.63090327878985,EMERGING_DOWN,-0.8067214913960946,-0.7474982894413105,0.8002206614589303,0.22897303669756602,0.12053316515060192,-0.21055189529373064,-1
2026-04-22,2026-04-22 13:35:00,2026-04-22 13:36:00,2026-04-22 14:06:00,154,155,185,30,-1,4.806,4.802,8.326395152157682,3.826395152157682,EMERGING_DOWN,-1.0685285075943005,-1.1079508634408264,0.692931675785761,0.4676282531384273,0.0,0.0029403036637937197,-1
2026-04-27,2026-04-27 13:55:00,2026-04-27 13:56:00,2026-04-27 14:26:00,174,175,205,30,-1,4.782,4.779,6.275494401118012,1.7754944011180118,EMERGING_DOWN,-0.8281980164245053,-1.2182545837116094,0.6131084879151146,-0.4151916858979077,0.3681190110162815,-0.515958227215342,-1
2026-04-28,2026-04-28 13:59:00,2026-04-28 14:00:00,2026-04-28 14:30:00,178,179,209,30,-1,4.767,4.76,14.695079793601058,10.195079793601058,EMERGING_DOWN,-1.4015371624510886,0.003928030936326456,0.7500650323013012,0.12668035110721862,0.3600212316950231,0.739494645113868,-1
