fold_id,train_start,train_end,test_start,test_end,n_train_signals,n_test_trades,test_avg_net_bps,test_win_rate,skipped
0,2025-06-09,2025-12-01,2025-12-02,2025-12-29,15,3,3.9525074108765152,1.0,
1,2025-07-07,2025-12-29,2025-12-30,2026-01-28,14,4,37.68500104505178,1.0,
2,2025-08-04,2026-01-28,2026-01-29,2026-03-05,16,3,11.033609219513247,0.3333333333333333,
3,2025-09-01,2026-03-05,2026-03-06,2026-04-02,17,6,14.757929117553935,0.6666666666666666,
