date,conf_q,shock_q,flip_q,bdiff_q,trend_min,gap_q,conf_thr,shock_thr,flip_thr,bdiff_thr,gap_thr,test_n_preds
2023-09-27,0.99,0.9,0.7,0.9,0.1,0.5,0.0012383122990750047,1574.8000000000004,0.6333333333333333,1441.1379310344828,0.07830206136388199,0
2023-09-28,0.99,0.9,0.7,0.9,0.1,0.5,0.0012408481560286018,1585.3999999999999,0.6333333333333333,1441.1379310344828,0.07830206136388199,0
2023-10-09,0.99,0.9,0.7,0.9,0.1,0.5,0.0012395678784576716,1585.3999999999999,0.6333333333333333,1441.1379310344828,0.07830206136388199,0
2023-10-10,0.99,0.9,0.7,0.9,0.1,0.5,0.0012408481560286018,1585.3999999999999,0.6333333333333333,1441.1379310344828,0.07830206136388199,0
2023-10-11,0.99,0.9,0.7,0.9,0.1,0.5,0.0012411328209381005,1596.0,0.6333333333333333,1455.4275862068969,0.06943306714703684,0
2023-10-12,0.99,0.9,0.7,0.9,0.1,0.5,0.0012413925752520574,1596.0,0.6333333333333333,1455.4275862068969,0.06943306714703684,0
2023-10-13,0.99,0.9,0.7,0.9,0.1,0.5,0.0012423093347170642,1596.0,0.6333333333333333,1455.4275862068969,0.06943306714703684,0
2023-10-16,0.99,0.9,0.7,0.9,0.1,0.5,0.0012423952419535083,1606.6000000000001,0.6333333333333333,1469.7172413793107,0.06943306714703684,0
2023-10-17,0.99,0.9,0.7,0.9,0.1,0.5,0.0012424626100065142,1606.6000000000001,0.6333333333333333,1469.7172413793107,0.06943306714703684,0
2023-10-18,0.99,0.9,0.7,0.9,0.1,0.5,0.0012444164727723635,1606.6000000000001,0.6333333333333333,1469.7172413793107,0.07830206136388199,0
2023-10-19,0.99,0.9,0.7,0.9,0.1,0.5,0.0012448607336622253,1606.6000000000001,0.6333333333333333,1469.7172413793107,0.06943306714703684,1
2023-10-20,0.99,0.9,0.7,0.9,0.1,0.5,0.0012476157566955505,1617.2000000000003,0.6333333333333333,1484.0068965517248,0.08186582383991707,0
2023-10-23,0.99,0.9,0.7,0.9,0.1,0.5,0.0012483759149210876,1627.8000000000004,0.6333333333333333,1498.2965517241378,0.08186582383991707,0
2023-10-24,0.99,0.9,0.7,0.9,0.1,0.5,0.0012496453919705155,1638.3999999999999,0.6333333333333333,1512.5862068965516,0.08451843971032211,0
2023-10-25,0.99,0.9,0.7,0.9,0.1,0.5,0.0012505380238537931,1638.3999999999999,0.6333333333333333,1594.5,0.08523663045168414,0
2023-10-26,0.99,0.9,0.7,0.9,0.1,0.5,0.00125640221753997,1638.3999999999999,0.6333333333333333,1534.4137931034484,0.07127888570984245,0
2023-10-27,0.99,0.9,0.7,0.9,0.1,0.5,0.0012566494673707028,1627.8000000000004,0.6333333333333333,1592.406896551724,0.07312470427264807,0
2023-10-30,0.99,0.9,0.7,0.9,0.1,0.5,0.0012584903224817712,1553.6000000000001,0.6333333333333333,1544.3379310344828,0.06749534387084541,0
2023-10-31,0.99,0.9,0.7,0.9,0.1,0.5,0.001259288180865143,1564.2000000000003,0.6333333333333333,1554.2620689655175,0.06749534387084541,0
2023-11-01,0.99,0.9,0.7,0.9,0.1,0.5,0.0012605817685071047,1564.2000000000003,0.6333333333333333,1554.2620689655175,0.06749534387084541,0
2023-11-02,0.99,0.9,0.7,0.9,0.1,0.5,0.001263436671496603,1574.8000000000004,0.6333333333333333,1564.1862068965522,0.06749534387084541,0
2023-11-03,0.99,0.9,0.7,0.9,0.1,0.5,0.0012649195748731922,1564.2000000000003,0.6333333333333333,1554.2620689655175,0.06749534387084541,0
2023-11-06,0.99,0.9,0.7,0.9,0.1,0.5,0.0012661271776317875,1553.6000000000001,0.6333333333333333,1544.3379310344828,0.06749534387084541,0
2023-11-07,0.99,0.9,0.7,0.9,0.1,0.5,0.0012664929197433235,1574.8000000000004,0.6333333333333333,1564.1862068965522,0.07127888570984245,0
2023-11-08,0.99,0.9,0.7,0.9,0.1,0.5,0.0012682532060481885,1574.8000000000004,0.6333333333333333,1564.1862068965522,0.07312470427264807,1
2023-11-09,0.99,0.9,0.7,0.9,0.1,0.5,0.0012697611072592936,1574.8000000000004,0.6333333333333333,1564.1862068965522,0.07312470427264807,1
2023-11-10,0.99,0.9,0.7,0.9,0.1,0.5,0.0012709260537566048,1564.2000000000003,0.6333333333333333,1554.2620689655175,0.07495624210915916,0
2023-11-13,0.99,0.9,0.7,0.9,0.1,0.5,0.0012722194741237975,1660.1000000000001,0.6333333333333333,1544.3379310344828,0.07312470427264807,0
2023-11-14,0.99,0.9,0.7,0.9,0.1,0.5,0.0012723352328345388,1649.0,0.6333333333333333,1534.4137931034484,0.07127888570984245,0
2023-11-15,0.99,0.9,0.7,0.9,0.1,0.5,0.0012739193708670624,1671.2000000000003,0.6333333333333333,1554.2620689655175,0.07127888570984245,0
2023-11-16,0.99,0.9,0.7,0.9,0.1,0.5,0.0012774119864752483,1649.0,0.6333333333333333,1534.4137931034484,0.07127888570984245,0
2023-11-17,0.99,0.9,0.7,0.9,0.1,0.5,0.0012776972099999416,1660.1000000000001,0.6333333333333333,1544.3379310344828,0.07127888570984245,0
2023-11-20,0.99,0.9,0.7,0.9,0.1,0.5,0.001280873870220783,1671.2000000000003,0.6333333333333333,1554.2620689655175,0.07127888570984245,0
2023-11-21,0.99,0.9,0.7,0.9,0.1,0.5,0.0012813260097139737,1671.2000000000003,0.6333333333333333,1484.7931034482758,0.07127888570984245,0
2023-11-22,0.99,0.9,0.7,0.9,0.1,0.5,0.0012834448433069392,1682.3000000000004,0.6333333333333333,1484.7931034482758,0.07127888570984245,0
2023-11-23,0.99,0.9,0.7,0.9,0.1,0.5,0.0012832608624121853,1693.3999999999999,0.6333333333333333,1484.7931034482758,0.07127888570984245,0
2023-11-24,0.99,0.9,0.7,0.9,0.1,0.5,0.0012854531758692892,1704.5,0.6333333333333333,1484.7931034482758,0.07312470427264807,0
2023-11-27,0.99,0.9,0.7,0.9,0.1,0.5,0.0012860265931123685,1704.5,0.6333333333333333,1484.7931034482758,0.07312470427264807,1
2023-11-28,0.99,0.9,0.7,0.9,0.1,0.5,0.0012878419285173811,1682.3000000000004,0.6333333333333333,1484.7931034482758,0.07312470427264807,0
2023-11-29,0.99,0.9,0.7,0.9,0.1,0.5,0.0012889690696397773,1671.2000000000003,0.6366666666666666,1514.3103448275863,0.07312470427264807,1
2023-11-30,0.99,0.9,0.7,0.9,0.1,0.5,0.0012918087435352798,1660.1000000000001,0.6333333333333333,1514.3103448275863,0.07312470427264807,0
2023-12-01,0.99,0.9,0.7,0.9,0.1,0.5,0.0012939852259232917,1660.1000000000001,0.6333333333333333,1514.3103448275863,0.07312470427264807,1
2023-12-04,0.99,0.9,0.7,0.9,0.1,0.5,0.0012950459988962906,1761.3,0.6333333333333333,1502.5034482758622,0.07312470427264807,0
2023-12-05,0.99,0.9,0.7,0.9,0.1,0.5,0.0012957892614450508,1760.0,0.6333333333333333,1499.5517241379312,0.07312470427264807,0
2023-12-06,0.99,0.9,0.7,0.9,0.1,0.5,0.0012969174055743455,1748.8999999999999,0.6333333333333333,1499.5517241379312,0.07312470427264807,0
2023-12-07,0.99,0.9,0.7,0.9,0.1,0.5,0.0012997346186074876,1737.8000000000004,0.6333333333333333,1550.5724137931034,0.07495624210915916,1
2023-12-08,0.99,0.9,0.7,0.9,0.1,0.5,0.0013015890934756182,1760.0,0.6333333333333333,1514.3103448275863,0.08269760850456073,0
2023-12-11,0.99,0.9,0.7,0.9,0.1,0.5,0.0013044314861505653,1748.8999999999999,0.6333333333333333,1514.3103448275863,0.08269760850456073,0
2023-12-12,0.99,0.9,0.7,0.9,0.1,0.5,0.001307850307143396,1762.6000000000001,0.6366666666666666,1514.3103448275863,0.08269760850456073,0
2023-12-13,0.99,0.9,0.7,0.9,0.1,0.5,0.0013102221423495525,1773.0,0.6333333333333333,1514.3103448275863,0.07678777994567024,0
2023-12-14,0.99,0.9,0.7,0.9,0.1,0.5,0.001312536073588098,1773.0,0.6333333333333333,1514.3103448275863,0.07678777994567024,0
2023-12-15,0.99,0.9,0.7,0.9,0.1,0.5,0.0013137199920325868,1788.0,0.6333333333333333,1514.3103448275863,0.07647942043011308,3
2023-12-18,0.99,0.9,0.7,0.9,0.1,0.5,0.0013165986716354686,1822.8000000000002,0.6333333333333333,1490.696551724138,0.07647942043011308,1
2023-12-19,0.99,0.9,0.7,0.9,0.1,0.5,0.001320883352747397,1834.4000000000003,0.6333333333333333,1496.6,0.07678777994567024,0
2023-12-20,0.99,0.9,0.7,0.9,0.1,0.5,0.0013226141084067982,1822.8000000000002,0.6333333333333333,1600.7586206896551,0.08192935613519883,0
2023-12-21,0.99,0.9,0.7,0.9,0.1,0.5,0.0013295843737077102,1811.1999999999998,0.6333333333333333,1600.7586206896551,0.08192935613519883,0
2023-12-22,0.99,0.9,0.7,0.9,0.1,0.5,0.0013323217274015086,1805.4000000000003,0.6333333333333333,1600.7586206896551,0.08192935613519883,0
2023-12-25,0.99,0.9,0.7,0.9,0.1,0.5,0.0013338105107663734,1980.0,0.6333333333333333,1604.9068965517242,0.07902928739072299,0
2023-12-26,0.99,0.9,0.7,0.9,0.1,0.5,0.001336465835233934,2006.8000000000004,0.6333333333333333,1609.0551724137931,0.07902928739072299,2
2023-12-27,0.99,0.9,0.7,0.9,0.1,0.5,0.0013384107767199004,1926.4000000000012,0.6333333333333333,1600.7586206896551,0.08047932176296091,1
2023-12-28,0.99,0.9,0.7,0.9,0.1,0.5,0.001339229018725417,1899.6000000000008,0.6333333333333333,1600.7586206896551,0.08192935613519883,0
2023-12-29,0.99,0.9,0.7,0.9,0.1,0.5,0.0013436382494008902,1926.4000000000012,0.6333333333333333,1638.0931034482758,0.08268846722917889,0
2024-01-02,0.99,0.9,0.7,0.9,0.1,0.5,0.0013437800360555758,1926.4000000000012,0.6333333333333333,1638.0931034482758,0.08192935613519883,0
2024-01-03,0.99,0.9,0.7,0.9,0.1,0.5,0.0013456972148434452,1926.4000000000012,0.6333333333333333,1638.0931034482758,0.08192935613519883,1
2024-01-04,0.99,0.9,0.7,0.9,0.1,0.5,0.0013485352361405592,2031.6000000000004,0.6333333333333333,1633.944827586207,0.08344757832315895,0
2024-01-05,0.99,0.9,0.7,0.9,0.1,0.5,0.0013510812386143337,2011.0,0.6333333333333333,1688.151724137931,0.08344757832315895,1
2024-01-08,0.99,0.9,0.7,0.9,0.1,0.5,0.0013552941591285124,2031.6000000000004,0.6333333333333333,1642.2413793103449,0.0860254116822889,0
2024-01-09,0.99,0.9,0.7,0.9,0.1,0.5,0.001357783032980918,2093.4000000000005,0.6333333333333333,1828.2068965517242,0.090087660881956,0
2024-01-10,0.99,0.9,0.7,0.9,0.1,0.5,0.0013611548634219178,2072.8,0.6333333333333333,1844.4827586206898,0.08860324504141885,0
2024-01-11,0.99,0.9,0.7,0.9,0.1,0.5,0.0013637081317721862,2083.1000000000004,0.6333333333333333,1844.4827586206898,0.0860254116822889,0
2024-01-12,0.99,0.9,0.7,0.9,0.1,0.5,0.0013670846455124857,2093.4000000000005,0.6333333333333333,1926.7931034482758,0.090087660881956,1
2024-01-15,0.99,0.9,0.7,0.9,0.1,0.5,0.0013684338660855844,2083.1000000000004,0.6333333333333333,1924.9241379310345,0.09157207672249314,0
2024-01-16,0.99,0.9,0.7,0.9,0.1,0.5,0.001373492283683489,2093.4000000000005,0.6333333333333333,1926.7931034482758,0.090087660881956,0
2024-01-17,0.99,0.9,0.7,0.9,0.1,0.5,0.0013762582752913268,2103.7,0.6333333333333333,1928.6620689655174,0.090087660881956,0
2024-01-18,0.99,0.9,0.7,0.9,0.1,0.5,0.001381152052925738,1994.4999999999998,0.6333333333333333,1928.6620689655174,0.08860324504141885,0
2024-01-19,0.99,0.9,0.7,0.9,0.1,0.5,0.001385870741160836,2083.1000000000004,0.6333333333333333,2271.0344827586205,0.0860254116822889,3
2024-01-22,0.99,0.9,0.7,0.9,0.1,0.5,0.0013926566183086202,2072.8,0.6333333333333333,2271.0344827586205,0.08268846722917889,0
2024-01-23,0.99,0.9,0.7,0.9,0.1,0.5,0.0013959983268897647,2083.1000000000004,0.6333333333333333,2271.0344827586205,0.08268846722917889,1
2024-01-24,0.99,0.9,0.7,0.9,0.1,0.5,0.0013982928262742335,2083.1000000000004,0.6333333333333333,2221.275862068965,0.08344757832315895,3
2024-01-25,0.99,0.9,0.7,0.9,0.1,0.5,0.0014033100023246297,2093.4000000000005,0.6333333333333333,2229.568965517241,0.09572108155204004,0
2024-01-26,0.99,0.9,0.7,0.9,0.1,0.5,0.0014064926710368243,2103.7,0.6333333333333333,2402.655172413793,0.09572108155204004,0
2024-01-29,0.99,0.9,0.7,0.9,0.1,0.5,0.0014088902512572315,2093.4000000000005,0.6333333333333333,2336.8448275862065,0.09926590774182176,0
2024-01-30,0.99,0.9,0.7,0.9,0.1,0.5,0.0014130063875613843,2062.5,0.6333333333333333,2297.3586206896553,0.09926590774182176,0
2024-01-31,0.99,0.9,0.7,0.9,0.1,0.5,0.0014194000285532036,2021.3000000000002,0.6333333333333333,2373.551724137931,0.09926590774182176,0
2024-02-01,0.99,0.9,0.7,0.9,0.1,0.5,0.0014225431273882378,2011.0,0.6666666666666666,2373.551724137931,0.09572108155204004,0
2024-02-02,0.99,0.9,0.7,0.9,0.1,0.5,0.0014244485996821005,1977.9999999999995,0.6599999999999999,2474.241379310345,0.090087660881956,3
2024-02-05,0.99,0.9,0.7,0.9,0.1,0.5,0.001433086154282706,1994.4999999999998,0.6666666666666666,2486.1724137931037,0.09469408925325246,0
