etf_code,date,datetime,minute_idx,fwd_ret_1m,horizon_min,pred_ret,pred_dir,confidence,signed_ret_bps,net_signed_ret_bps,fwd_ret_2m,fwd_ret_3m,fwd_ret_4m,fwd_ret_5m,breadth_diff_1,ret_oc,gap_abs,open30_flip_rate,open30_abs_bdiff_mean,open30_trendness,pred_sign,breadth_sign,breadth_align,conf_q,shock_q,flip_q,bdiff_q,trend_min,gap_q,conf_thr,shock_thr,flip_thr,bdiff_thr,gap_thr
510300.XSHG,2023-10-19,2023-10-19 13:50:00,169,,5,0.0012054655391379307,1.0,0.0012512272937436673,0.0,-6.0,,,,0.0,755.0,-0.002766253492890185,0.08186582383991707,0.5333333333333333,1131.344827586207,0.1667809003029335,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0012448607336622253,1606.6000000000001,0.6333333333333333,1469.7172413793107,0.06943306714703684
510300.XSHG,2023-11-08,2023-11-08 10:01:00,30,,5,0.0013352432874589309,1.0,0.0013894698729348494,0.0,-6.0,,,,0.0,727.0,-0.0027063615977430252,0.17965217440562478,0.6,1006.8275862068965,0.33303249060681894,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0012682532060481885,1574.8000000000004,0.6333333333333333,1564.1862068965522,0.07312470427264807
510300.XSHG,2023-11-09,2023-11-09 14:41:00,220,,5,0.0013520466519865537,1.0,0.001407949886217373,27.137058715961043,21.137058715961043,,,,0.002713705871596104,223.0,-0.002713705871596162,0.07678777994567024,0.6,1103.655172413793,0.14307841266198343,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0012697611072592936,1574.8000000000004,0.6333333333333333,1564.1862068965522,0.07312470427264807
510300.XSHG,2023-11-27,2023-11-27 14:54:00,233,,5,0.0014833987865151292,1.0,0.0015496386733572234,27.894020875785923,21.894020875785923,,,,0.0027894020875785922,633.0,-0.0027894020875785254,0.09572108155204004,0.5666666666666667,894.6551724137931,1.0,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0012860265931123685,1704.5,0.6333333333333333,1484.7931034482758,0.07312470427264807
510300.XSHG,2023-11-29,2023-11-29 14:10:00,189,,5,0.0015266417417145312,1.0,0.001597678531195897,0.0,-6.0,,,,0.0,429.0,-0.0028129413766147236,0.21694401793634707,0.5666666666666667,1290.8620689655172,1.0,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0012889690696397773,1671.2000000000003,0.6366666666666666,1514.3103448275863,0.07312470427264807
510300.XSHG,2023-12-01,2023-12-01 13:15:00,134,,5,0.0012629722828702149,1.0,0.0013211708891094163,28.368813351995357,22.368813351995357,,,,0.0028368813351995355,530.0,-0.002836881335199615,0.1612717373188736,0.5333333333333333,1472.0,0.1997749012220577,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0012939852259232917,1660.1000000000001,0.6333333333333333,1514.3103448275863,0.07312470427264807
510300.XSHG,2023-12-07,2023-12-07 10:45:00,74,,5,0.0013253822411897042,1.0,0.0013856911661054806,0.0,-6.0,,,,0.0,711.0,-0.0029027596579614626,0.10331281862685364,0.5666666666666667,1079.103448275862,0.3339777679400575,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0012997346186074876,1737.8000000000004,0.6333333333333333,1550.5724137931034,0.07495624210915916
510300.XSHG,2023-12-15,2023-12-15 13:02:00,121,,5,0.0012556521900811998,1.0,0.0013139271904533281,0.0,-6.0,,,,0.0,518.0,-0.00291121020745833,0.250233443880592,0.43333333333333335,1133.5172413793102,0.1428571428571457,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0013137199920325868,1788.0,0.6333333333333333,1514.3103448275863,0.07647942043011308
510300.XSHG,2023-12-15,2023-12-15 13:13:00,132,,5,0.001291509667192173,1.0,0.0013514488182809503,29.19710103334846,23.19710103334846,,,,0.002919710103334846,216.0,-0.0029197101033348618,0.1751463276325142,0.43333333333333335,1133.5172413793102,0.1428571428571457,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0013137199920325868,1788.0,0.6333333333333333,1514.3103448275863,0.07647942043011308
510300.XSHG,2023-12-15,2023-12-15 14:00:00,179,,5,0.0013600487686153716,1.0,0.0014231688293481516,29.282597790883596,23.282597790883596,,,,0.0029282597790883597,322.0,-0.002928259779088334,0.10281073393160349,0.43333333333333335,1133.5172413793102,0.1428571428571457,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0013137199920325868,1788.0,0.6333333333333333,1514.3103448275863,0.07647942043011308
510300.XSHG,2023-12-18,2023-12-18 10:43:00,72,,5,0.0014281501857629378,1.0,0.0014941377915430798,29.282597790883596,23.282597790883596,,,,0.0029282597790883597,539.0,-0.002928259779088334,0.08860324504141885,0.6333333333333333,1077.0689655172414,0.16711578528686005,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0013165986716354686,1822.8000000000002,0.6333333333333333,1490.696551724138,0.07647942043011308
510300.XSHG,2023-12-26,2023-12-26 10:47:00,76,,5,0.0013258793019278934,1.0,0.0013874665091257723,0.0,-6.0,,,,0.0,1049.0,-0.002945510229756803,0.10072619603374211,0.6333333333333333,1481.103448275862,0.2000000000000195,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.001336465835233934,2006.8000000000004,0.6333333333333333,1609.0551724137931,0.07902928739072299
510300.XSHG,2023-12-26,2023-12-26 14:40:00,219,,5,0.001421180814643295,1.0,0.0014871947852738187,0.0,-6.0,,,,0.0,397.0,-0.002945510229756803,0.08344757832315895,0.6333333333333333,1481.103448275862,0.2000000000000195,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.001336465835233934,2006.8000000000004,0.6333333333333333,1609.0551724137931,0.07902928739072299
510300.XSHG,2023-12-27,2023-12-27 13:29:00,148,,5,0.001380124971513944,1.0,0.001444316922978477,29.368596733097057,23.368596733097057,,,,0.0029368596733097057,1226.0,-0.002936859673309825,0.11857864876799366,0.6333333333333333,1439.4827586206898,0.19976394182337678,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0013384107767199004,1926.4000000000012,0.6333333333333333,1600.7586206896551,0.08047932176296091
510300.XSHG,2024-01-03,2024-01-03 13:52:00,171,,5,0.0013594901629105265,1.0,0.0014236792631757054,29.11210207458313,23.11210207458313,,,,0.002911210207458313,633.0,-0.00291121020745833,0.15424005524280654,0.43333333333333335,1136.9655172413793,0.19999999999998685,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0013456972148434452,1926.4000000000012,0.6333333333333333,1638.0931034482758,0.08192935613519883
510300.XSHG,2024-01-05,2024-01-05 11:12:00,101,,5,0.0012992400766389063,1.0,0.0013612847859602603,29.19710103334846,23.19710103334846,,,,0.002919710103334846,55.0,-0.0029197101033348618,0.21053918728728707,0.5666666666666667,1389.8620689655172,0.33398469522165325,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0013510812386143337,2011.0,0.6333333333333333,1688.151724137931,0.08344757832315895
510300.XSHG,2024-01-12,2024-01-12 10:59:00,88,,5,0.0013283825015342283,1.0,0.0013894415442477406,0.0,-6.0,,,,0.0,623.0,-0.0029629651306569606,0.1727577644241577,0.6333333333333333,1815.2068965517242,0.3339950381981739,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0013670846455124857,2093.4000000000005,0.6333333333333333,1926.7931034482758,0.090087660881956
510300.XSHG,2024-01-19,2024-01-19 10:34:00,63,,5,0.0014116962104927613,1.0,0.0014712469534807985,61.34988567515929,55.34988567515929,,,,0.006134988567515929,1331.0,-0.0030721990369701403,0.10864869473017999,0.5,1763.7241379310344,0.3333333333333319,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.001385870741160836,2083.1000000000004,0.6333333333333333,2271.0344827586205,0.0860254116822889
510300.XSHG,2024-01-19,2024-01-19 14:45:00,224,,5,0.0013934964044115677,1.0,0.0014522794100023395,30.534374868902482,24.534374868902482,,,,0.003053437486890248,497.0,-0.0030534374868902317,0.2884008941477628,0.5,1763.7241379310344,0.3333333333333319,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.001385870741160836,2083.1000000000004,0.6333333333333333,2271.0344827586205,0.0860254116822889
510300.XSHG,2024-01-19,2024-01-19 14:54:00,233,,5,0.0014157645063458452,1.0,0.0014754868656058151,30.534374868902482,24.534374868902482,,,,0.003053437486890248,333.0,-0.0030534374868902317,0.1731519721563869,0.5,1763.7241379310344,0.3333333333333319,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.001385870741160836,2083.1000000000004,0.6333333333333333,2271.0344827586205,0.0860254116822889
510300.XSHG,2024-01-23,2024-01-23 14:43:00,222,,5,0.0013670996102808429,1.0,0.0014222964855317042,0.0,-6.0,,,,0.0,449.0,-0.0030911925696729694,0.30717928959418433,0.5333333333333333,2188.103448275862,0.166450068644923,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0013959983268897647,2083.1000000000004,0.6333333333333333,2271.0344827586205,0.08268846722917889
510300.XSHG,2024-01-24,2024-01-24 10:06:00,35,,5,0.0014127267753391768,1.0,0.0014701847238471595,31.007776782481855,25.007776782481855,,,,0.0031007776782481854,670.0,-0.0031007776782481593,0.41332093503976086,0.6,1932.2758620689656,0.49961449437685324,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0013982928262742335,2083.1000000000004,0.6333333333333333,2221.275862068965,0.08344757832315895
