date,equity,day_pnl,contracts
2026-03-06,500000.0,0.0,0
2026-03-09,500000.0,0.0,0
2026-03-10,500000.0,0.0,0
2026-03-11,506198.97878742346,6198.978787423444,3
2026-03-12,506198.97878742346,0.0,0
2026-03-13,506198.97878742346,0.0,0
2026-03-16,506198.97878742346,0.0,0
2026-03-17,516004.3375768166,9805.358789393165,3
2026-03-18,516004.3375768166,0.0,0
2026-03-19,516004.3375768166,0.0,0
2026-03-20,518640.13522009715,2635.7976432805044,3
2026-03-23,559840.7889533202,41200.65373322302,7
2026-03-24,559840.7889533202,0.0,0
2026-03-25,559840.7889533202,0.0,0
2026-03-26,559840.7889533202,0.0,0
2026-03-27,559840.7889533202,0.0,0
2026-03-30,559840.7889533202,0.0,0
2026-03-31,559840.7889533202,0.0,0
2026-04-01,556198.5015890879,-3642.2873642323366,4
2026-04-02,556198.5015890879,0.0,0
2026-04-03,556198.5015890879,0.0,0
2026-04-07,556198.5015890879,0.0,0
2026-04-08,556198.5015890879,0.0,0
2026-04-09,556198.5015890879,0.0,0
2026-04-10,556198.5015890879,0.0,0
2026-04-13,556198.5015890879,0.0,0
2026-04-14,556198.5015890879,0.0,0
2026-04-15,556198.5015890879,0.0,0
2026-04-16,556198.5015890879,0.0,0
2026-04-17,556198.5015890879,0.0,0
2026-04-20,556198.5015890879,0.0,0
2026-04-21,556198.5015890879,0.0,0
2026-04-22,556198.5015890879,0.0,0
2026-04-23,556198.5015890879,0.0,0
2026-04-24,556198.5015890879,0.0,0
2026-04-27,556198.5015890879,0.0,0
2026-04-28,560572.4966729366,4373.995083848662,3
2026-04-29,560572.4966729366,0.0,0
2026-04-30,560572.4966729366,0.0,0
