date,signal_datetime,entry_datetime,exit_datetime,signal_minute_idx,entry_minute_idx,exit_minute_idx,hold_bars,side,entry_px,exit_px,gross_bps,net_bps,consensus_short,DirScore_5,DirScore_10,Exhaustion_10,IPG_10,Sector_Down_Frac_10,Bucket_Top_Sign_10,Bucket_Penetration_10,EW_SignedBreadth_10,IPG_velocity_10,WavefrontDown_Frac_5
2025-06-12,2025-06-12 13:24:00,2025-06-12 13:25:00,2025-06-12 13:55:00,143,144,174,30,-1,4.007,4.004,7.489702010333278,2.9897020103332776,6,-0.954598672276444,-0.617185851774517,0.06276856872750104,0.1216986608548562,0.7333333333333333,-0.38333333333333336,-0.2166666666666667,-0.25773195876288657,0.4927593743494127,0.0859106529209622
2025-06-25,2025-06-25 10:48:00,2025-06-25 10:49:00,2025-06-25 11:19:00,77,78,108,30,-1,3.94,3.948,-20.28398261392619,-24.78398261392619,5,-1.1668857895274931,-1.1625022881143128,0.0,0.6635436468422172,0.8666666666666667,-0.18333333333333332,0.35114942528735626,-0.3825503355704698,1.3192232019723824,0.19463087248322147
2025-07-02,2025-07-02 13:34:00,2025-07-02 13:35:00,2025-07-02 14:05:00,153,154,184,30,-1,3.988,3.99,-5.0137880218015445,-9.513788021801545,4,-0.8949360580568385,-1.162152008670268,0.18517670574019862,1.0502570975992755,0.5862068965517241,-0.016666666666666666,0.1587719298245614,-0.21885521885521886,0.6429656720347067,0.04713804713804714
2025-07-23,2025-07-23 10:43:00,2025-07-23 10:44:00,2025-07-23 11:14:00,72,73,103,30,-1,4.201,4.208,-16.648832481638532,-21.148832481638532,5,-0.8036325016862104,0.1542600655922139,0.0,2.2137000141793255,0.8275862068965517,-0.3,0.3379310344827587,-0.4175084175084175,1.2937805084582963,0.08754208754208755
2025-07-29,2025-07-29 13:40:00,2025-07-29 13:41:00,2025-07-29 14:11:00,159,160,190,30,-1,4.211,4.221,-23.71917620570944,-28.21917620570944,6,-1.137746837084772,-1.0248844461014945,0.16666336298576204,0.9978708505667967,0.6896551724137931,-0.4,-0.35000000000000003,-0.2733333333333333,1.629877212785398,0.24333333333333335
2025-08-18,2025-08-18 14:18:00,2025-08-18 14:19:00,2025-08-18 14:49:00,197,198,228,30,-1,4.313,4.329,-37.028507941373874,-41.528507941373874,5,-1.0085478161266805,-0.39808322192787804,0.0,2.557642649529305,1.0,-0.6666666666666666,0.19774011299435035,-0.835016835016835,0.552018116315518,0.3063973063973064
2025-09-04,2025-09-04 10:59:00,2025-09-04 11:00:00,2025-09-04 11:30:00,88,89,119,30,-1,4.454,4.446,17.977532931710943,13.477532931710943,4,-0.8964680630733405,-0.3041570772324953,0.46075912417545056,1.1382068781077972,0.3448275862068966,0.0847457627118644,-0.05084745762711865,0.1717171717171717,-0.007484181937893686,0.10437710437710437
2025-09-18,2025-09-18 14:17:00,2025-09-18 14:18:00,2025-09-18 14:48:00,196,197,227,30,-1,4.599,4.572,58.88142625222598,54.38142625222598,4,-1.1109602119377482,-0.6270152932062494,0.45593572698054347,0.3001062449561012,0.7586206896551724,-0.5,-0.09999999999999998,-0.4214046822742475,-4.050575820065267,0.010033444816053512
2025-10-14,2025-10-14 13:53:00,2025-10-14 13:54:00,2025-10-14 14:24:00,172,173,203,30,-1,4.667,4.638,62.33228134338664,57.83228134338664,4,-0.7680289600500007,-1.3653483279586647,0.27623178757562256,0.029766297499779215,0.20689655172413793,-0.016666666666666666,-0.47429378531073446,0.14381270903010032,0.1340943400029122,0.05016722408026756
2025-10-16,2025-10-16 13:06:00,2025-10-16 13:07:00,2025-10-16 13:37:00,125,126,156,30,-1,4.717,4.713,8.483563605307465,3.983563605307465,5,-0.8757721786313085,-0.28432978234131046,0.0,2.3102354199468023,0.9310344827586207,-0.65,0.21440677966101696,-0.7157190635451505,1.1281390579437653,0.2140468227424749
