date,equity,day_pnl,contracts
2025-06-09,500000.0,0.0,0
2025-06-10,500000.0,0.0,0
2025-06-11,500000.0,0.0,0
2025-06-12,501437.56831464864,1437.5683146486529,4
2025-06-13,501437.56831464864,0.0,0
2025-06-16,501437.56831464864,0.0,0
2025-06-17,501437.56831464864,0.0,0
2025-06-18,501437.56831464864,0.0,0
2025-06-19,501437.56831464864,0.0,0
2025-06-20,501437.56831464864,0.0,0
2025-06-23,501437.56831464864,0.0,0
2025-06-24,501437.56831464864,0.0,0
2025-06-25,489719.70133478433,-11717.866979864302,4
2025-06-26,489719.70133478433,0.0,0
2025-06-27,489719.70133478433,0.0,0
2025-06-30,489719.70133478433,0.0,0
2025-07-01,489719.70133478433,0.0,0
2025-07-02,485166.782939071,-4552.918395713347,4
2025-07-03,485166.782939071,0.0,0
2025-07-04,485166.782939071,0.0,0
2025-07-07,485166.782939071,0.0,0
2025-07-08,485166.782939071,0.0,0
2025-07-09,485166.782939071,0.0,0
2025-07-10,485166.782939071,0.0,0
2025-07-11,485166.782939071,0.0,0
2025-07-14,485166.782939071,0.0,0
2025-07-15,485166.782939071,0.0,0
2025-07-16,485166.782939071,0.0,0
2025-07-17,485166.782939071,0.0,0
2025-07-18,485166.782939071,0.0,0
2025-07-21,485166.782939071,0.0,0
2025-07-22,485166.782939071,0.0,0
2025-07-23,477170.6208660883,-7996.162072982713,3
2025-07-24,477170.6208660883,0.0,0
2025-07-25,477170.6208660883,0.0,0
2025-07-28,477170.6208660883,0.0,0
2025-07-29,466475.83527588646,-10694.785590201822,3
2025-07-30,466475.83527588646,0.0,0
2025-07-31,466475.83527588646,0.0,0
2025-08-01,466475.83527588646,0.0,0
2025-08-04,466475.83527588646,0.0,0
2025-08-05,466475.83527588646,0.0,0
2025-08-06,466475.83527588646,0.0,0
2025-08-07,466475.83527588646,0.0,0
2025-08-08,466475.83527588646,0.0,0
2025-08-11,466475.83527588646,0.0,0
2025-08-12,466475.83527588646,0.0,0
2025-08-13,466475.83527588646,0.0,0
2025-08-14,466475.83527588646,0.0,0
2025-08-15,466475.83527588646,0.0,0
2025-08-18,450355.71434828336,-16120.120927603097,3
2025-08-19,450355.71434828336,0.0,0
2025-08-20,450355.71434828336,0.0,0
2025-08-21,450355.71434828336,0.0,0
2025-08-22,450355.71434828336,0.0,0
2025-08-25,450355.71434828336,0.0,0
2025-08-26,450355.71434828336,0.0,0
2025-08-27,450355.71434828336,0.0,0
2025-08-28,450355.71434828336,0.0,0
2025-08-29,450355.71434828336,0.0,0
2025-09-01,450355.71434828336,0.0,0
2025-09-02,450355.71434828336,0.0,0
2025-09-03,450355.71434828336,0.0,0
2025-09-04,455758.31819928903,5402.603851005649,3
2025-09-05,455758.31819928903,0.0,0
2025-09-08,455758.31819928903,0.0,0
2025-09-09,455758.31819928903,0.0,0
2025-09-10,455758.31819928903,0.0,0
2025-09-11,455758.31819928903,0.0,0
2025-09-12,455758.31819928903,0.0,0
2025-09-15,455758.31819928903,0.0,0
2025-09-16,455758.31819928903,0.0,0
