date,breadth_up_lb1,dispersion_lb1,signed_cohesion_lb1,breadth_net_lb1,dispersion_lb3
2025-04-16,0.14825534120104186,-0.005913053251195888,0.14009117537562432,0.15508907390799956,0.030000634262880813
2025-04-17,0.21036094773224656,0.08855812254588624,0.19383266719583042,0.16756313525467456,0.07608559858078873
2025-04-18,0.07468932739551226,0.07997630470464004,0.03927284477005964,0.044817633345372386,0.08886407362062236
2025-04-21,0.06569905747864226,0.16628337419132785,-0.006047919754430576,-0.003943532696437163,0.10884623737961015
2025-04-22,0.054494985361375536,-0.06676407025233617,0.028921840646797276,0.02608923285231308,0.012240312595499805
2025-04-23,0.0924068547762955,0.06691766821435347,0.07486823589462618,0.0688996331240302,0.048375998723786194
2025-04-24,-0.04329875097127524,0.1760527665193906,-0.04566214536080303,-0.061957482763171444,0.1612546104184405
2025-04-25,0.05917401424878634,0.11367232590865138,0.025815228207703787,0.019015012518975544,0.1297509653288845
2025-04-28,-0.02244173733909782,0.11970947507428197,-0.023477542151635847,-0.051963201832132024,0.1845455122057164
2025-04-29,0.11494092010514269,0.15329779039029337,0.061615728805939754,0.05533234789374407,0.10166753477394291
2025-04-30,0.09894508996218149,0.24652145103245462,0.06373144707543393,0.01670841546649216,0.21653830851699724
2025-05-06,0.1998611427849669,0.35673173507161277,0.10388888498650166,0.06867749899486432,0.32485022746973313
2025-05-07,0.2516669284140415,-0.07896012306568423,0.24328090866306556,0.2530784978237885,-0.06412782126856419
2025-05-08,0.18134547171170665,0.1871277415246003,0.13940935027593782,0.14479301305078845,0.13755816478918445
2025-05-09,0.020445400340289157,-0.20147791209794683,0.030218994167492033,0.05824373872844204,-0.18349513443490056
2025-05-12,0.14177933890622194,0.13803165148247792,0.08984684691012881,0.09448117192469017,0.08635969624574033
2025-05-13,0.18740204777357888,-0.05194654978236387,0.18545127596355798,0.19144951169391966,-0.03738883582009229
2025-05-14,0.03406202753385745,0.028922777219736403,0.0778465378410589,0.021493351731840388,0.05506170609026905
2025-05-15,0.04251448014069954,-0.07388202458972254,0.06695981399661431,0.0475744259244262,-0.06763548720038286
2025-05-16,0.2140510638495229,0.32869074127406706,0.13589064574362722,0.10160127173382533,0.33891452634977864
2025-05-19,0.009225170922497675,0.06281360559508677,0.04013730159287643,0.00766739798908052,0.0808358431563996
2025-05-20,0.1164506055867832,-0.06553809627501529,0.12274584454294073,0.12487355909232195,-0.07544749168250721
2025-05-21,0.09795691941374444,0.25506393281025735,0.06958409137205596,0.014699384731509162,0.2391728443230589
2025-05-22,0.126039662896194,0.23373254754863743,0.07780345548585893,0.06828306112979787,0.18260043937119558
2025-05-23,0.07650481301144775,0.07866510258985833,0.024297043473374406,0.024351381067643656,0.05967068302424228
2025-05-26,0.008259491181852393,0.28853423993593846,0.04863482786960095,-0.04262321722955057,0.320451710491669
2025-05-27,0.0844401883628536,0.1268199368281553,0.08746888821767829,0.03273447430307287,0.18067266461524265
2025-05-28,0.13865975127658195,0.033039951860150935,0.12133161940485475,0.06929849664946064,0.07178126003048305
2025-05-29,0.2528628249412966,0.3885274497821298,0.15125980767474698,0.10810395674014427,0.3609196042968426
2025-05-30,0.11463559031972317,0.10349552435206716,0.05890903301185469,0.1017239898381743,0.10357801145132799
2025-06-03,0.08388226434970489,0.1402204224412242,-0.012292988112547972,0.012820236649473318,0.10347518398428564
2025-06-04,0.051676157272317724,0.0037720475123452024,0.07289862300363627,0.01598594346748348,-0.008457799415324941
2025-06-05,0.04261537165686456,0.10226205779123324,0.03928502021826833,0.012412680174551325,0.09052565016750304
2025-06-06,0.09331402568481398,0.07098707763487236,-0.023274305823844682,0.026119873915811474,0.05658297599987698
2025-06-09,0.2566839852903432,0.30908639651220243,0.11058725464715786,0.14462728745735598,0.25161304582645405
2025-06-10,0.16876390896607166,0.12626548564819046,0.12368241748207051,0.10723294617356642,0.09613887666277778
2025-06-11,0.17859546661356235,0.051736757443998804,0.12019930272144684,0.13016289507335954,0.08546307917330558
2025-06-12,0.2582846667728856,0.2648483103053463,0.12298373406947968,0.14361993323520839,0.13724583837059784
2025-06-13,0.10849480958515835,-0.019204896403325778,0.0682934938619351,0.11170626011304764,-0.04903813073118977
2025-06-16,0.07841506365929826,0.2913411490345104,0.0031042710067456674,0.008384910723261557,0.32992817453376866
