metric,fwd_1,fwd_3,fwd_5,fwd_10,fwd_20,abs_ic_fwd5
breadth_up_lb1,0.18260444002294016,0.11213982180792138,0.08874203124626759,0.07400599874133848,0.06107259111902007,0.08874203124626759
dispersion_lb1,0.04094967298412567,0.06840495429509966,0.07905467791403648,0.09986215407339544,0.12235485842643773,0.07905467791403648
signed_cohesion_lb1,0.16878455133184758,0.0954345515998824,0.07065094851758882,0.05329144609209765,0.03607414270294253,0.07065094851758882
breadth_net_lb1,0.17410151293215131,0.09551407593583355,0.06891711547297916,0.048359049513937144,0.030038217948892925,0.06891711547297916
dispersion_lb3,0.03112809076971054,0.05467650997048424,0.06401666505590352,0.08506159959745732,0.10721707475017185,0.06401666505590352
dispersion_lb5,0.02278766507798355,0.04355292909229754,0.057158394496479054,0.07810438482948366,0.10063393064322963,0.057158394496479054
dispersion_lb10,0.019275417823708556,0.040376493500613495,0.052042341527197875,0.072990192617247,0.09315645692825518,0.052042341527197875
breadth_change_lb10,0.11856866142423543,0.06980903395664631,0.048120769843295046,0.029819601665317497,0.012941407406599752,0.048120769843295046
breadth_change_lb3,0.12185898680429401,0.06508910405193125,0.047990749935293855,0.03336158276589756,0.016362497821193166,0.047990749935293855
breadth_down_lb1,-0.15611912969813643,-0.07521590247660871,-0.046038387128229746,-0.020390081009308298,0.0022598012682799994,0.046038387128229746
breadth_change_lb5,0.11389124410556378,0.0674216487428131,0.04602196076497313,0.03087391579091629,0.015415167535080716,0.04602196076497313
dispersion_lb20,0.016907258921821426,0.03586916051256115,0.04583402673730442,0.06450082560135291,0.08817617308929761,0.04583402673730442
breadth_change_lb1,0.1198474180639175,0.06530822084397457,0.04535820508568244,0.03089787260680343,0.021289378937187235,0.04535820508568244
signed_cohesion_lb3,0.10251804928710692,0.055646735091321474,0.04180148021448487,0.03089548895389833,0.024051491952338848,0.04180148021448487
breadth_change_lb20,0.1117888524310668,0.05734553256245516,0.039002802677046464,0.030216082752813938,0.010619311016367644,0.039002802677046464
breadth_up_lb3,0.10456732610355429,0.050781405871640865,0.035173928600389474,0.021735335126047733,0.013793666980108987,0.035173928600389474
signed_cohesion_lb5,0.07810631378892352,0.042665742935144406,0.034320099628942266,0.025392495665016872,0.025787958940431437,0.034320099628942266
breadth_net_lb3,0.10141019926832733,0.04583488468725771,0.029277252698606652,0.01384856786078589,0.0042959046949700465,0.029277252698606652
signed_cohesion_lb20,0.04853012415730461,0.029251761872012623,0.02760434443179829,0.028381372571158858,0.030605212019440758,0.02760434443179829
signed_cohesion_lb10,0.062388722083329184,0.03487944092860082,0.026470551486849656,0.021566221557345437,0.02707777253381474,0.026470551486849656
breadth_up_lb5,0.07633992507380502,0.03552653278288645,0.023953407147624735,0.010587729514589195,0.009314390451275915,0.023953407147624735
breadth_down_lb3,-0.09767899810513168,-0.04062364174982244,-0.023211837881391542,-0.005896251116745627,0.005183014578671573,0.023211837881391542
breadth_net_lb5,0.07454958209612896,0.032614060297786865,0.020338540132226624,0.005582772528578845,0.0031804012764515555,0.020338540132226624
breadth_up_lb20,0.044965682583799294,0.021704685782242262,0.017185282670900637,0.013811156080959413,0.018196105760411658,0.017185282670900637
breadth_down_lb5,-0.07251295901929135,-0.029596249758017938,-0.016654022915648322,-0.0005406314477437707,0.003014760883329968,0.016654022915648322
breadth_net_lb20,0.04429071813760638,0.020508983673677296,0.015601954609061714,0.01119704217392226,0.014331390784974743,0.015601954609061714
breadth_up_lb10,0.059424062904058536,0.027461120594535673,0.015494407154398072,0.006931014627226499,0.01096817336104244,0.015494407154398072
breadth_down_lb20,-0.043530978300793444,-0.019230914220511333,-0.013958250635604347,-0.008540029252316872,-0.010445250872852944,0.013958250635604347
breadth_net_lb10,0.05833758431614791,0.025611269065363415,0.013158721940825433,0.003573676963267906,0.006633912975728532,0.013158721940825433
breadth_down_lb10,-0.05710924020062826,-0.023689331308415638,-0.010775842809605257,-0.00020429605786365665,-0.0022811982513949534,0.010775842809605257
